286216,38845,4161,36728,35543,20279,16133,17475
253070,89319,15418,30539,15996,22614,18726,9149
1541552,84505,15954,13444,35076,52805,151800,23722
1488298,71329,52653,58282,115660,83103,71415,48825
634989,584257,232029,141234,19552,39298,26033,13089
588308,107928,11373,97353,35785,39001,46596,9093
354988,121889,53910,27684,22113,19827,3163,1018
619205,282085,32976,70910,15385,31418,6735,2309
1971782,917862,249111,201201,90273,84353,12996,4333
326090,6211,6067,508,1641,910,727,380
547106,335104,133535,99678,151148,56899,38704,7307
439711,76392,2794,12766,34477,10550,4083,2250
281146,17770,10609,6603,4926,6306,2077,799
536588,311698,98501,181740,64334,36635,15031,5702
2240889,31637,613,29571,22735,10703,5246,2192
125245,17112,6703,4412,4408,1360,1008,416
704190,1371,393,2052,1444,1732,278,271
2259482,59203,9664,63355,44957,22563,4133,3741
1531837,899860,146627,207506,454786,999977,592761,226126
1095988,146075,147793,33607,42370,37062,15731,30580
2497705,480774,508972,330141,299747,98110,43874,37091
1752985,379024,289935,417013,183227,160845,32301,7505
1166414,32332,21519,6377,9687,33996,17563,7670
600422,149677,9074,5636,29191,23528,2891,1364
731420,53831,13053,8113,7876,3829,4176,694
525981,24000,11435,19959,3156,4214,4419,2810
1400741,700291,196531,114742,191904,76992,39022,8670
63314,7949,9149,9229,4369,3626,4120,637
1465936,224834,187135,337238,76470,108414,21123,10290
556746,32683,11080,8623,15509,5013,1580,431
2994246,384096,76138,247909,142654,69197,28162,14719
1204626,108856,62560,6910,13397,12901,13037,2323
1703083,172995,41639,5313,23868,25073,11581,3607
666591,84272,20432,51489,29873,8624,12515,3129
706499,77968,37384,99498,6865,18503,11640,5845
266898,50356,21109,5808,10951,5335,1446,587
21377,5724,1221,1976,1702,914,511,267
31910,54351,5792,18076,3732,3253,2321,503
1990054,109714,54791,19974,9257,13757,5723,696
371546,95842,50102,7045,9243,13643,1239,948
871703,168344,127919,205372,17260,46924,22336,4462
1205957,79754,33654,36763,29487,12333,5913,3078
464227,395220,337392,263994,27811,92964,41612,11272
347837,39399,94491,66799,9868,16012,7126,3580
665102,53035,4980,8438,17508,13372,14892,2459
811688,44820,9606,30215,23867,17196,10244,2368
1174208,39290,41166,44647,5988,13942,4036,2788
2733106,285819,240160,122974,104529,93497,71861,11500
865327,30361,54499,73281,8258,14862,7943,2372
523638,241207,77053,117842,74623,75352,28438,10470
1923866,174830,160064,93908,53184,20202,17326,10753
558392,342957,55067,52474,18354,15846,7711,3318
1720669,296295,56832,10524,32517,19595,10320,2735
31525,70623,9366,6947,5531,3981,944,819
814098,136210,40138,11740,14574,16104,21482,2866
247772,254650,8993,38390,32523,19485,5070,2334
1406546,38209,24132,17947,13657,19398,2863,1477
1849855,212347,212909,190530,110536,77215,23863,12298
360827,92860,18933,38955,28806,8927,4801,2441
517049,16235,4060,24042,7031,14961,7908,953
704552,367930,100082,48684,67517,22340,20082,11284
566615,67323,21963,32195,13657,14131,5096,581
241778,55803,10729,20912,11448,12166,4553,4168
137691,10812,2738,9002,2888,4151,943,843
562397,269018,26466,70294,46570,41387,16280,9238
1359308,94170,23196,26582,14163,11588,3969,2780
2412448,354181,78919,305368,57799,35378,23910,8843
445027,40747,12226,12888,7161,8902,4417,2337
238370,135743,61286,7666,5627,23271,5222,2625
103596,15445,11137,1680,7627,3830,1360,414
192274,102375,85433,13656,23520,19133,9038,1702
885895,100529,64493,32064,28411,14217,6009,1996
783454,17770,26763,16003,3708,8202,9645,2057
571064,88435,12261,6651,11487,15580,4293,1719
148758,4949,1146,6950,3698,3106,1326,199
323864,23214,38524,2973,4966,20659,5049,1568
1354344,423520,189552,93546,32759,53883,31896,7295
799582,116717,31388,74131,53820,41272,17097,4283
104463,22980,3768,14505,2874,2861,758,118
210324,227148,21456,13910,15946,8914,5957,1510
98714,181664,30817,25713,7130,10955,2636,1366
2778410,90312,19926,104759,43637,25935,17634,3910
517721,119402,29277,33060,11451,8398,3006,2694
219627,47404,9539,34704,6764,8894,2960,1713
1318821,295050,57950,46601,27790,51417,21184,10602
294859,26740,8297,5986,3620,3820,525,335
898075,13703,24728,15535,15443,20141,3399,1058
899921,166828,18122,72968,17830,59515,15657,6457
196505,95704,158568,108116,40667,41015,24260,6202
1001686,1275985,270955,128560,55721,52490,15830,5611
1861760,89989,6897,13697,16099,6692,3601,2648
684567,218101,166618,37796,32896,24182,15566,4756
682513,19210,18125,9136,13111,16714,6585,2432
1480785,87470,57175,17709,12237,14652,3171,1861
1068314,232541,23881,28857,38674,91064,6379,5694
98531,48833,9295,7101,17568,5211,2100,1857
502710,489878,153137,77006,10185,41530,35656,3395
1379444,181888,16492,85035,27657,20152,5655,3112
363443,65286,43154,29346,7957,8205,2945,1601
1814889,309015,88815,87815,55332,55832,13883,11283
1915330,523845,226121,266329,70644,31126,22198,7564
1865444,448202,31595,57096,8502,33317,18346,3063
663459,46201,26594,20357,5382,8830,6386,2454
2404765,42204,22139,26235,10721,3510,1437,684
1995079,18856,13847,14319,2588,3737,1401,600
560956,54378,1383,11262,6273,5498,1281,1221
160086,9566,5148,1853,2589,1503,268,103
162850,74520,60966,20500,11769,25005,2257,2469
1528352,715051,134971,120043,83700,45482,24161,4954
291279,50035,28135,14473,79613,38081,9543,1724
871138,48394,15640,12334,42074,43768,12583,4825
956435,30054,20486,16872,11280,8191,2232,464
21853,120323,52890,46543,30917,2498,1520,482
1988114,112331,183902,30460,43056,48682,18504,7399
1238069,416402,164474,64221,66011,19132,12263,2763
702930,217801,124290,14622,10215,9826,2016,978
786802,72704,80248,17309,23981,14172,3993,2943
626582,217352,115800,153323,136324,317748,70981,64011
2743195,450052,49095,53280,84384,14324,7223,4655
532516,243857,40360,38405,27787,23174,7995,2290
1215866,377437,32687,104107,33931,33317,13724,6069
412659,18371,29811,7926,9970,7902,1191,382
1776422,256222,36628,59417,45206,53195,5370,1497
1109406,76341,16301,12778,20260,21874,5941,1481
1409892,356177,105204,95125,59776,79807,9702,4995
161230,53235,58164,62711,114457,109455,20924,6746
1714284,163146,21426,30247,12217,5812,1237,4131
30612,28758,4209,3477,1640,687,430,204
130418,112238,12323,5510,1300,2598,1956,723
167743,57500,5914,3032,1276,2427,1357,547
146489,1525,1134,252,317,431,106,93
868716,62848,50117,14978,29989,11990,9216,2143
1100506,7413,2534,1585,314,863,173,163
464241,645216,259847,23037,49141,67050,20130,8001
725055,28781,74047,20076,14005,7579,1922,2613
1096832,165009,60028,9459,19721,26785,4177,1160
566968,30260,4181,9401,4342,1623,804,533
547501,256706,36383,28907,25502,23033,5881,2618
1019307,62301,18292,15903,2455,2294,2872,1062
862909,31968,1684,9972,2712,3036,1052,760
1507833,99519,32891,50458,10697,12803,4376,5232
364308,3583,2425,757,1071,644,260,92
1747632,247400,60342,10033,20081,6579,3862,1894
1048079,77229,13292,13923,12794,5005,1784,1237
890521,34833,6676,5308,8656,4230,1020,309
1511544,49073,6901,17585,17461,9714,1475,991
305701,81497,6177,2323,4330,3061,922,1114
921864,148112,78461,14739,5823,9197,5843,2359
1126103,49551,13109,63279,26251,3080,4407,2462
636666,145406,23447,17690,9605,6356,4546,2783
1385542,1487835,156167,61705,42304,31592,15859,8691
1322975,307373,9608,35359,89326,7651,3877,2457
2077690,501599,16491,41894,60493,14513,3313,2471
2123012,590536,92009,92955,78125,40595,18186,2921
439099,19159,1761,4270,2299,2628,2246,562
1136464,1625139,231852,192097,151568,59872,8745,15802
86651,41957,15916,6291,4970,2573,683,614
622961,17714,8083,2791,9965,7031,709,466
873350,38166,2744,12382,5209,2685,1833,1190
791324,350775,20562,14109,40880,13125,5664,1352
411842,8853,19785,1434,6757,2823,2200,188
2184330,1019264,275075,167715,208519,56269,11638,5015
31885,31489,10390,7481,6157,4873,721,336
2744734,63814,42528,28014,29343,29141,16866,3788
1801696,41528,15983,9037,4224,2603,765,567
2346368,169395,74843,79693,13861,15027,3092,1065
643684,38601,35799,54445,8510,15151,1950,1396
1486909,273708,5868,28997,32497,16763,4379,2304
265569,53115,5806,20199,19488,17507,939,957
242686,9126,3728,2402,1299,1298,353,69
920635,57786,34745,38402,11535,7878,3737,887
148361,6048,13210,14351,4225,8766,1692,706
1283859,48262,6488,16712,4565,3041,463,245
941482,1018111,111271,89360,80481,95861,19860,17728
955665,15296,3137,6555,4387,3427,715,677
1914690,154790,60852,80201,16847,9270,5757,4718
128856,27517,2432,967,2441,3289,471,312
879605,43535,5806,6839,5389,1591,478,536
719688,42733,15791,6467,3854,5443,1074,690
92511,7450,13066,600,3297,2291,260,36
529325,70289,7450,12622,14843,8483,2903,715
146883,4783,809,1906,432,593,109,80
928506,258485,50969,37777,21021,36668,3276,1316
525848,63087,7388,12564,4351,3031,836,405
1168838,346657,56181,10964,19397,32836,4648,2953
826402,664924,145129,113055,34768,18568,6849,2970
271872,26700,16230,8728,4011,3416,706,370
294595,16758,17709,8834,5519,4191,1591,827
850229,28187,1853,2578,2110,1787,564,373
972744,209553,70476,27085,44947,11198,3437,1918
2194484,659260,135662,451024,53876,83771,14612,13190
540648,23327,24436,53022,14146,1413,631,406
936099,15955,10328,5402,8328,3290,1075,525
1080224,34233,4430,9521,8375,8021,1343,440
484344,37219,2098,2156,1501,679,110,55
1695637,12794,17835,11268,1727,879,522,246
338867,22067,9016,3845,4245,1747,452,264
752792,123590,17591,19803,13846,10585,2797,1985
67209,26881,1483,1222,595,1078,265,81
622625,163601,7578,19771,6440,7384,896,1135
1032965,37477,23309,4530,9117,1413,1930,1072
2239315,510721,161013,67869,33530,16557,2610,3768
101764,30260,4380,4692,428,1081,202,63
1416199,178973,52456,20840,30346,10397,3043,2716
1968507,169261,118962,38895,34915,14209,7449,3488
1360565,13047,10887,2754,1390,3053,991,437
1199761,82077,12870,19701,34879,6686,3470,1671
925905,57257,9250,7012,1550,2671,1132,546
1248742,102464,13944,24715,9558,16619,4277,1316
368565,42280,21390,4722,5524,906,970,592
740044,48250,39382,19530,15796,7177,1076,773
221031,148894,24742,8204,9020,6464,3353,1571
79523,10541,4180,1543,2392,1056,452,54
1281543,237315,76325,18021,18885,14944,3170,779
1269368,48682,14030,13836,4774,4420,562,523
133283,48128,7641,2426,3708,3650,2237,219
782264,84640,22969,15342,14521,7158,2016,853
715939,22416,2196,10132,4142,2103,1686,315
537853,473507,59223,45553,13868,23346,7248,2437
623874,37961,4763,7046,6121,2233,1043,659
1545846,340253,113435,5092,15075,104170,13654,13041
1670409,100056,45564,15717,4884,11362,4338,784
3136455,323608,9454,50912,170747,47277,10116,10133
685393,90046,5523,41140,9754,15367,1920,1952
139575,67168,2341,1975,4302,1827,502,325
460585,241322,43246,17164,4929,3943,2567,1154
746277,10415,4941,10127,2948,2487,487,123
312951,93156,40030,21816,3537,7369,881,1188
501621,44970,2579,5879,10927,7049,1080,268
2097215,700222,441197,56641,136748,35900,14575,9045
226588,28605,4844,3083,2590,2572,473,413
1435977,137597,5956,10837,4031,8349,2262,1519
1366587,978025,189780,60620,47716,43777,13626,6307
87340,42266,3796,6805,3667,1000,740,343
311699,48835,2901,15279,5546,4464,1519,605
1221358,103712,111148,18053,21911,16744,9785,1752
570605,861649,218051,71780,43116,49738,15131,1265
79287,26854,3167,2233,9088,3451,1339,871
613866,72312,89881,14987,13386,16297,3672,1985
1307241,78011,17699,18431,8795,8131,3047,1176
1213731,375474,54391,95059,62287,46571,9414,7618
94601,24578,1066,6383,4148,1293,865,298
1209362,310502,58360,78642,88166,31925,8945,9302
378717,14178,8006,2084,4166,6476,380,153
821634,128722,19877,31386,34203,21012,5902,3762
202412,24089,19593,8900,14103,5383,666,318
2640949,359982,11319,52339,115374,19952,11852,8594
1011835,87221,60794,65916,15894,10537,3809,1194
80537,51788,11850,16368,11556,15010,1904,525
665742,370127,305178,161347,53176,12136,19415,8437
699977,64722,11721,12985,8919,4490,14470,12613
584019,253229,39696,12948,20055,32274,5330,4626
1272335,453415,41226,81030,86706,156971,25206,7313
470,5386,6494,2133,1212,865,559,288
885309,79437,12620,33533,7431,21811,5213,2004
907396,97857,5033,7967,14470,13316,5116,696
1057397,375059,47797,56828,102707,89371,12134,2526
1030352,321770,9182,53750,11932,34171,15635,6602
1351325,332064,55714,22947,8249,4219,4743,2753
445096,18208,4712,4657,6558,4752,757,144
237609,90531,66471,31862,18699,15921,5699,4398
776020,128872,43310,91212,115230,112137,61530,52614
97740,18597,10174,10702,10608,8181,3902,2758
260071,226600,624932,370508,306925,146035,98196,45441
104180,59694,11338,18963,8886,8363,8512,3005
296716,47134,50488,31470,49386,16916,9217,5377
733412,41689,31890,23965,8303,22479,21367,14266
715582,91359,229897,136751,114107,108883,6439,11913
901552,710196,128338,65789,64515,141009,38664,39120
417027,17034,1841,3478,4779,3224,582,339
1871699,896652,37411,31387,27354,100672,25974,13923
1269302,302107,512098,442409,139326,38311,24693,13198
540146,100080,24208,12886,8852,10953,1803,1453
2398521,61710,26191,93341,25974,16010,7324,6989
166472,4048,8813,3993,1684,2100,748,146
268243,16655,19794,23922,12226,9143,1828,511
1916183,619987,15798,125455,91920,66001,18623,7424
471758,6705,5176,17622,3867,2565,673,497
5729,2371,783,610,299,162,57,43
4178,2129,624,509,517,436,133,77
1883099,14283,20020,8261,3259,10530,2352,1147
930969,4834,5256,5479,6396,4151,348,333
304136,8222,1645,1983,460,921,274,69
609899,77214,63440,3296,8493,5246,2619,878
1035666,52591,15746,11116,5809,4789,3997,1947
519995,22547,6737,2404,8313,1939,3743,901
544456,55908,5033,3403,6883,11080,2630,1957
660251,81681,11727,23183,4492,6961,2479,2050
208385,26920,10369,2350,2195,1185,1314,589
74139,26087,3904,750,1086,1311,1809,768
664748,317815,30812,18367,47250,44418,11243,17048
825021,83083,15042,13988,9095,7067,2477,5089
34216,43993,20574,24312,26364,13707,6523,3037
2496868,158906,65526,30157,27004,23359,45914,6661
1666856,538440,75913,49603,36555,30824,13977,9305
19668,8738,1748,932,1269,552,186,69
146995,19422,3905,2925,1183,399,475,153
2167621,141054,37503,65130,14469,14341,2671,933
375696,3451,2851,1814,1317,1687,202,109
1163461,14775,13206,7330,9896,5963,2879,782
1369882,109494,7719,24283,12074,3966,780,544
1505709,248137,26825,4567,21225,82102,133110,111423
1414111,240584,11207,72328,55773,29387,6565,1373
177945,36001,8551,17404,4233,9127,2179,844
1001443,137423,10409,44605,30968,9815,6381,4160
464873,21807,7159,3482,1616,1007,368,208
411472,408607,141910,150623,221788,175835,208667,223877
1026271,215973,546109,271168,351709,447093,421439,229981
320624,12460,2275,1324,1005,438,192,76
123342,29951,6155,4957,12183,5124,8892,3137
2078268,104762,42634,11685,8256,11816,5410,5811
1302680,463346,89297,53655,38154,30697,45304,26689
246697,30588,6369,1287,5874,904,4782,1358
1189033,165531,20382,26197,13289,12835,6626,6113
963992,515938,106761,42857,22199,40206,20970,17655
148151,48116,5281,3913,1789,1703,2394,799
145957,86545,18694,24139,3652,6299,6099,3890
1761704,78534,33519,12677,18036,16467,8254,2410
801528,502331,49336,38685,21182,6979,7551,4484
342031,42678,9117,6660,9546,5967,3797,1539
1294892,324785,10982,17547,21374,8601,15005,7641
368245,31936,5591,5909,9125,1549,1867,1054
160838,59905,3763,15205,6121,3551,6448,7154
82155,30101,14939,8506,4050,3736,4216,2473
25011,10854,543,7854,2013,4846,5234,2287
167845,21305,7547,13941,5074,6070,1502,3677
149373,33876,22328,1637,5066,3190,1471,2377
466470,259338,64232,31535,36903,34215,15415,10288
727975,20059,24064,23474,9076,11631,11203,7709
257478,16937,5284,25113,5214,6581,1648,1691
114811,12221,10309,1492,3506,4406,7994,1313
719512,60383,13146,12686,17036,23935,14558,4985
617422,28509,16291,15797,4398,9481,8609,2906
18485,2817,2538,1213,547,673,744,862
968253,387879,101721,96938,20154,23901,18041,11053
114754,99378,32775,1505,4785,6004,5929,8185
757145,53088,9376,6074,5572,7423,9038,7353
62076,5620,2209,653,2072,3376,2969,2283
98221,114901,58138,20781,10291,26572,13607,9724
276166,75201,11813,8466,3812,4641,2040,797
196853,16873,1930,8969,2764,5804,2514,1521
920142,313867,13541,18877,14805,21212,10909,8725
76649,7898,229,4424,1596,1084,1988,945
72318,88435,22796,9347,5954,5370,9657,4089
1240350,113107,43892,144462,22314,43967,13441,13392
898681,44531,17358,4238,2577,2266,4368,1919
585825,586451,173321,88264,245865,56123,61529,49049
1498572,185217,56572,117703,74012,31855,40275,21205
630713,627081,135046,232080,204864,154861,72920,149813
2829701,1614617,520902,191714,202742,91082,157889,92788
1923107,265011,79191,73713,38602,28513,36088,21041
364960,51281,29728,12097,4178,9384,9773,1943
474095,164595,16427,7593,16739,4287,24385,3141
274356,200422,23294,16587,18764,20582,26263,5064
752798,73441,95333,25729,23544,20642,16105,13619
83234,77862,19095,5639,3919,7090,2798,4091
84140,11587,4210,1484,1602,1434,2062,507
751948,224505,13934,72109,20612,39782,19614,17981
75596,3497,1956,1391,1001,1970,1648,1337
906685,31856,38499,12217,17501,39203,41080,13151
64264,13527,1875,3622,6759,4756,8639,3535
144377,55370,7293,8257,3164,13547,3974,2575
949912,35521,9558,2489,10512,9582,7353,2560
24909,33940,3519,2127,4144,1592,790,950
204954,36824,15717,5451,7266,3939,2852,3265
137028,16702,28004,22577,7794,9897,4857,1743
57431,30051,4017,2792,3406,5448,1127,451
24634,3153,594,3435,859,2397,1048,731
15853,3007,3568,433,1097,1645,664,463
2028727,56511,19266,10803,14641,8298,3274,1576
42803,11628,2192,17226,4923,4392,1068,593
87996,17542,13340,14657,1842,2562,825,924
153636,50138,7060,9197,3434,6380,836,577
