536588,311698,98501,181740,64334,36635,15031,5702,53,30
2240889,31637,613,29571,22735,10703,5246,2192,53,30
125245,17112,6703,4412,4408,1360,1008,416,61,20
704190,1371,393,2052,1444,1732,278,271,61,20
2259482,59203,9664,63355,44957,22563,4133,3741,61,20
1531837,899860,146627,207506,454786,999977,592761,226126,61,20
1095988,146075,147793,33607,42370,37062,15731,30580,61,20
2497705,480774,508972,330141,299747,98110,43874,37091,61,20
1752985,379024,289935,417013,183227,160845,32301,7505,61,20
1166414,32332,21519,6377,9687,33996,17563,7670,61,20
600422,149677,9074,5636,29191,23528,2891,1364,44,27
731420,53831,13053,8113,7876,3829,4176,694,44,27
525981,24000,11435,19959,3156,4214,4419,2810,44,27
1400741,700291,196531,114742,191904,76992,39022,8670,48,26
63314,7949,9149,9229,4369,3626,4120,637,53,44
1465936,224834,187135,337238,76470,108414,21123,10290,69,66
556746,32683,11080,8623,15509,5013,1580,431,91,60
2994246,384096,76138,247909,142654,69197,28162,14719,96,67
1204626,108856,62560,6910,13397,12901,13037,2323,87,53
1703083,172995,41639,5313,23868,25073,11581,3607,61,48
666591,84272,20432,51489,29873,8624,12515,3129,66,38
706499,77968,37384,99498,6865,18503,11640,5845,81,35
266898,50356,21109,5808,10951,5335,1446,587,78,34
21377,5724,1221,1976,1702,914,511,267,78,34
31910,54351,5792,18076,3732,3253,2321,503,87,11
1990054,109714,54791,19974,9257,13757,5723,696,84,16
371546,95842,50102,7045,9243,13643,1239,948,84,16
871703,168344,127919,205372,17260,46924,22336,4462,84,16
1205957,79754,33654,36763,29487,12333,5913,3078,84,16
464227,395220,337392,263994,27811,92964,41612,11272,100,21
347837,39399,94491,66799,9868,16012,7126,3580,100,37
665102,53035,4980,8438,17508,13372,14892,2459,100,54
811688,44820,9606,30215,23867,17196,10244,2368,80,74
1174208,39290,41166,44647,5988,13942,4036,2788,77,77
2733106,285819,240160,122974,104529,93497,71861,11500,63,88
865327,30361,54499,73281,8258,14862,7943,2372,94,75
523638,241207,77053,117842,74623,75352,28438,10470,94,70
1923866,174830,160064,93908,53184,20202,17326,10753,91,53
558392,342957,55067,52474,18354,15846,7711,3318,80,26
1720669,296295,56832,10524,32517,19595,10320,2735,53,13
31525,70623,9366,6947,5531,3981,944,819,43,1
814098,136210,40138,11740,14574,16104,21482,2866,27,1
247772,254650,8993,38390,32523,19485,5070,2334,20,11
1406546,38209,24132,17947,13657,19398,2863,1477,30,43
1849855,212347,212909,190530,110536,77215,23863,12298,50,61
360827,92860,18933,38955,28806,8927,4801,2441,54,53
517049,16235,4060,24042,7031,14961,7908,953,74,83
704552,367930,100082,48684,67517,22340,20082,11284,66,47
566615,67323,21963,32195,13657,14131,5096,581,61,43
241778,55803,10729,20912,11448,12166,4553,4168,60,57
137691,10812,2738,9002,2888,4151,943,843,60,48
562397,269018,26466,70294,46570,41387,16280,9238,56,66
1359308,94170,23196,26582,14163,11588,3969,2780,53,61
2412448,354181,78919,305368,57799,35378,23910,8843,60,41
445027,40747,12226,12888,7161,8902,4417,2337,56,34
238370,135743,61286,7666,5627,23271,5222,2625,61,34
103596,15445,11137,1680,7627,3830,1360,414,61,43
192274,102375,85433,13656,23520,19133,9038,1702,60,56
885895,100529,64493,32064,28411,14217,6009,1996,64,44
783454,17770,26763,16003,3708,8202,9645,2057,78,50
571064,88435,12261,6651,11487,15580,4293,1719,66,51
148758,4949,1146,6950,3698,3106,1326,199,66,69
323864,23214,38524,2973,4966,20659,5049,1568,69,97
1354344,423520,189552,93546,32759,53883,31896,7295,60,87
799582,116717,31388,74131,53820,41272,17097,4283,70,91
104463,22980,3768,14505,2874,2861,758,118,69,67
210324,227148,21456,13910,15946,8914,5957,1510,48,26
98714,181664,30817,25713,7130,10955,2636,1366,40,16
2778410,90312,19926,104759,43637,25935,17634,3910,47,7
517721,119402,29277,33060,11451,8398,3006,2694,43,1
219627,47404,9539,34704,6764,8894,2960,1713,61,20
1318821,295050,57950,46601,27790,51417,21184,10602,61,38
294859,26740,8297,5986,3620,3820,525,335,61,38
898075,13703,24728,15535,15443,20141,3399,1058,60,57
899921,166828,18122,72968,17830,59515,15657,6457,57,84
196505,95704,158568,108116,40667,41015,24260,6202,69,88
1001686,1275985,270955,128560,55721,52490,15830,5611,69,63
1861760,89989,6897,13697,16099,6692,3601,2648,54,34
684567,218101,166618,37796,32896,24182,15566,4756,61,10
682513,19210,18125,9136,13111,16714,6585,2432,48,29
1480785,87470,57175,17709,12237,14652,3171,1861,57,48
1068314,232541,23881,28857,38674,91064,6379,5694,54,77
98531,48833,9295,7101,17568,5211,2100,1857,43,83
502710,489878,153137,77006,10185,41530,35656,3395,40,53
1379444,181888,16492,85035,27657,20152,5655,3112,34,47
363443,65286,43154,29346,7957,8205,2945,1601,54,17
1814889,309015,88815,87815,55332,55832,13883,11283,61,24
1915330,523845,226121,266329,70644,31126,22198,7564,69,13
1865444,448202,31595,57096,8502,33317,18346,3063,60,11
663459,46201,26594,20357,5382,8830,6386,2454,57,17
2404765,42204,22139,26235,10721,3510,1437,684,57,17
1995079,18856,13847,14319,2588,3737,1401,600,67,13
560956,54378,1383,11262,6273,5498,1281,1221,67,13
160086,9566,5148,1853,2589,1503,268,103,67,13
162850,74520,60966,20500,11769,25005,2257,2469,66,41
1528352,715051,134971,120043,83700,45482,24161,4954,66,41
291279,50035,28135,14473,79613,38081,9543,1724,66,41
871138,48394,15640,12334,42074,43768,12583,4825,66,41
956435,30054,20486,16872,11280,8191,2232,464,66,41
21853,120323,52890,46543,30917,2498,1520,482,66,41
1988114,112331,183902,30460,43056,48682,18504,7399,87,56
1238069,416402,164474,64221,66011,19132,12263,2763,80,37
702930,217801,124290,14622,10215,9826,2016,978,74,20
786802,72704,80248,17309,23981,14172,3993,2943,74,20
626582,217352,115800,153323,136324,317748,70981,64011,74,20
2743195,450052,49095,53280,84384,14324,7223,4655,74,20
532516,243857,40360,38405,27787,23174,7995,2290,74,20
1215866,377437,32687,104107,33931,33317,13724,6069,74,20
412659,18371,29811,7926,9970,7902,1191,382,74,20
1776422,256222,36628,59417,45206,53195,5370,1497,61,17
1109406,76341,16301,12778,20260,21874,5941,1481,61,17
1409892,356177,105204,95125,59776,79807,9702,4995,61,17
161230,53235,58164,62711,114457,109455,20924,6746,61,17
1714284,163146,21426,30247,12217,5812,1237,4131,47,1
30612,28758,4209,3477,1640,687,430,204,40,1
130418,112238,12323,5510,1300,2598,1956,723,24,1
167743,57500,5914,3032,1276,2427,1357,547,17,1
146489,1525,1134,252,317,431,106,93,17,1
868716,62848,50117,14978,29989,11990,9216,2143,27,1
1100506,7413,2534,1585,314,863,173,163,27,1
464241,645216,259847,23037,49141,67050,20130,8001,34,16
725055,28781,74047,20076,14005,7579,1922,2613,61,30
1096832,165009,60028,9459,19721,26785,4177,1160,70,48
566968,30260,4181,9401,4342,1623,804,533,64,37
547501,256706,36383,28907,25502,23033,5881,2618,57,37
1019307,62301,18292,15903,2455,2294,2872,1062,57,37
862909,31968,1684,9972,2712,3036,1052,760,38,38
1507833,99519,32891,50458,10697,12803,4376,5232,44,30
364308,3583,2425,757,1071,644,260,92,50,44
1747632,247400,60342,10033,20081,6579,3862,1894,51,26
1048079,77229,13292,13923,12794,5005,1784,1237,51,21
890521,34833,6676,5308,8656,4230,1020,309,40,26
1511544,49073,6901,17585,17461,9714,1475,991,34,30
305701,81497,6177,2323,4330,3061,922,1114,23,38
921864,148112,78461,14739,5823,9197,5843,2359,29,35
1126103,49551,13109,63279,26251,3080,4407,2462,47,14
636666,145406,23447,17690,9605,6356,4546,2783,44,1
1385542,1487835,156167,61705,42304,31592,15859,8691,50,1
1322975,307373,9608,35359,89326,7651,3877,2457,29,1
2077690,501599,16491,41894,60493,14513,3313,2471,3,1
