delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
785976,21800,45854,45618,3417,13219,25138,5163,75,50
857542,79986,58505,26880,11241,25334,9172,1882,78,44
1085718,244266,35253,150257,25063,46860,45565,11790,81,48
89974,9641,4742,3977,5609,9458,695,471,83,50
361273,7078,981,7144,3314,14693,2789,420,83,50
1359876,62638,7572,44242,20755,14471,20005,2189,66,51
197130,3515,3876,1380,9065,22167,899,620,50,63
917445,10822,8765,3672,9245,10910,2205,638,50,63
515679,28851,525,3258,7012,3110,9099,654,29,63
82562,15810,6445,1523,5306,8993,4556,664,26,61
425300,102519,9481,25983,13648,21336,12360,3663,17,61
137937,54338,17979,9168,5225,7209,1773,391,27,48
140715,9820,2962,11381,9360,1962,5149,476,50,47
1771227,25689,18062,24758,21379,21584,11272,1826,57,47
62576,30783,6322,2589,4761,2818,3223,594,57,43
1061477,55045,14399,21017,9929,17531,15157,1809,57,44
153866,19683,2190,4902,5781,5798,979,516,44,50
862910,27487,8397,27901,25513,7194,3745,1339,44,44
312503,115193,6690,5500,23215,9075,9639,2600,34,44
574673,200658,72251,127642,82124,48330,39651,13764,37,43
1016440,34117,10533,23318,21313,11297,19224,1967,47,41
1454018,82790,28192,33626,14666,10640,17376,920,47,40
261246,68588,51748,9852,11002,6786,6669,1095,70,38
770911,353336,114212,58741,37958,32106,15161,5039,67,35
838570,75808,29602,19986,16461,12360,7600,1321,67,34
1940546,476433,41205,31376,82267,50019,61780,10854,50,34
95518,13934,3662,3552,12164,5968,2934,635,37,41
678383,45289,17255,19820,9080,7108,15572,3195,41,43
412925,44437,28751,33128,15956,10209,5188,1530,48,43
1326017,327333,122941,130436,80979,44107,31688,5117,64,41
1086589,38561,41184,11531,7899,10498,17155,774,81,38
938680,399047,74482,16992,86819,80008,57747,11876,66,41
138416,77625,26496,9166,11699,19256,11767,989,54,43
680615,85780,7940,25339,11752,11913,11852,2062,48,44
246249,119291,42568,28018,25306,12848,7601,2370,40,43
50512,119182,18794,28463,32576,13306,15188,3506,47,38
388714,7527,1367,4827,3352,15325,1574,330,43,47
770360,989928,33276,109521,56956,74440,41105,3902,34,44
635676,47557,8802,30953,14277,20601,7182,1234,34,50
761720,27206,14238,13652,8847,20758,4813,1258,40,57
802218,115290,42189,12880,20205,12358,5458,2155,43,44
887649,24878,14134,6304,4780,4128,1215,849,60,47
891923,397703,61105,49527,42706,25824,22085,8313,53,40
1909900,475052,359631,117223,58951,39889,19668,4497,57,27
2478337,271143,165627,142567,58844,42966,22556,7072,66,27
1792904,283201,281660,77903,36675,37160,18782,5338,74,26
422251,334839,34605,64072,62447,94013,12878,10876,74,34
2212063,93226,108676,120250,78392,51981,40846,7870,75,40
175875,7729,2607,9502,4630,3493,2485,435,74,44
1672902,242269,37719,56083,84875,57581,24803,13443,57,50
1084075,87942,14207,20181,8842,19894,3793,1753,61,48
620245,39788,22044,8165,7992,7483,6553,1246,54,47
324258,51297,13181,24471,13916,7711,8482,2100,51,43
1078673,158909,305192,36875,57539,15203,27432,3972,70,35
274751,9699,6971,4633,4068,3777,1053,518,70,35
1120855,86907,6330,39523,14337,8999,4547,954,75,29
154521,51343,19054,22932,23739,7675,4469,1475,75,27
555045,350422,359005,100362,48995,35495,37973,4823,81,24
2988669,568727,150480,109502,60771,35178,42364,8050,67,26
355495,62063,21060,10282,14163,6243,5252,1580,66,27
1740777,64010,25655,6262,9751,9341,8468,1076,63,27
775722,58916,37332,18446,21898,7176,3848,2462,57,29
1652686,1570037,105504,71364,84650,28845,29218,6271,43,26
1077310,81703,83172,121329,29255,67559,32487,13306,56,30
528925,1056377,81042,52699,107105,21779,28790,2896,43,23
857441,244378,21296,90451,116550,29785,13866,18261,35,24
204946,56926,33693,11104,24301,13699,6183,2118,50,35
2000051,57615,22114,8135,18035,13612,5167,1257,37,35
211732,160791,24531,7628,12806,8899,12537,1576,41,40
2079378,888369,111500,291322,131521,140379,103962,26725,43,41
1667981,89759,144923,64609,25701,37885,10645,7148,43,41
352921,2263,407,187,358,496,343,29,43,41
296140,95785,38943,36099,34515,5921,17979,4976,47,35
1204389,344072,206897,55386,30503,24449,16441,8518,53,26
779353,47960,26708,5851,23362,7836,6776,1128,63,30
1843525,535508,37887,120328,41539,36838,70725,6053,57,26
326617,192638,99724,181779,173456,61721,21416,7397,60,34
1385023,631751,88867,66304,106418,56673,19594,8009,47,37
1226057,28364,49836,14726,38352,7809,23125,1427,53,37
590976,38674,17972,18107,8557,7544,7158,2014,64,38
349977,42993,56945,44310,9908,13504,6745,1640,74,37
394142,32562,34439,9110,11487,10910,5786,1347,88,40
1304242,191938,157902,64070,40054,42304,30846,4793,87,41
609636,99176,236339,37758,67883,53479,12891,4926,94,43
507541,251051,86410,48648,29190,65046,39530,5018,81,47
