delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
1730828,642691,177870,51399,143774,74887,22658,27146,47,34
679308,13439,5205,2367,2125,1660,2585,654,51,38
223345,44611,10197,3465,2063,1894,1449,496,56,35
143605,33536,2620,3026,4694,1589,1427,874,50,30
572214,276642,657,8577,6624,10452,8419,6419,34,21
929512,97261,17411,38713,41248,17576,9574,6232,30,26
753729,23662,2405,9490,7185,5742,3499,901,30,43
586832,101728,148894,5608,4911,8625,4519,2149,50,41
19467,35615,6816,6532,2648,1208,3057,1452,70,38
1199963,652472,95904,59241,16360,29898,38694,20645,66,26
239293,48199,39907,14339,13743,3986,6467,2099,75,11
531457,63941,24154,12789,11675,9886,3684,3243,66,23
811932,147445,26504,12495,10167,8938,3147,3828,61,29
183381,93231,27523,13482,11933,13868,4103,3856,66,40
1183820,508344,39023,19323,16174,36889,16270,23112,48,44
230838,11722,17785,1969,4430,3649,1007,485,54,47
128719,276495,109416,37701,66468,14527,17967,9106,60,43
283601,16065,1964,2419,947,1434,839,781,56,41
959937,259481,34738,137240,14332,19099,17476,13505,70,37
195334,12814,1959,4518,3796,796,3281,611,63,24
1795319,296049,8984,22026,21870,24186,14814,27086,50,34
103742,21475,5534,3583,2423,1420,633,462,53,27
872970,45276,36013,19856,32032,12895,9010,7934,53,38
676256,22481,7855,8047,9260,4435,5727,3888,56,50
1294756,259488,61578,14012,12030,15733,7278,7252,64,44
615390,47278,15725,4695,5225,4529,1663,1188,64,48
947781,106377,10391,12995,11243,12590,2104,1068,54,44
1461330,56441,20326,20963,6133,4688,7433,5309,56,38
363414,347517,47475,16402,49988,16262,8433,4161,51,37
1946283,512563,14935,32985,11221,7515,9853,7888,40,20
230143,88620,7166,5375,3902,2490,2210,995,37,4
798044,187538,51697,18870,22144,14252,10344,2763,30,4
1748353,401016,97953,12280,34330,15654,16760,11815,37,3
321522,70876,29016,10549,8344,6049,10520,4132,51,16
1051028,103548,33816,46245,9410,17873,9821,7630,63,30
2477438,82744,3668,32384,15173,16932,5064,5801,63,43
36240,5775,1706,1724,1280,457,444,167,67,48
576048,118346,22249,31616,21838,26126,7731,4832,64,57
128045,12401,5077,894,1819,1247,1717,820,60,54
167397,38050,15550,8998,7092,8243,1579,1797,63,54
63859,16255,1482,4480,2347,2747,1465,1030,60,63
291403,129649,5667,2676,9814,2897,1347,574,44,41
813534,230096,77079,27940,26350,11129,17075,16230,44,35
404700,49798,20890,13423,5518,3387,5696,1939,48,21
1560597,140507,61075,31978,53733,13741,10448,16440,51,13
2472724,337762,95896,46719,43916,31331,9958,12544,67,26
131494,24024,10392,1345,3774,1678,1300,579,67,29
2289621,154067,64293,38323,51599,33655,27737,9807,64,43
240126,36498,12330,9481,6402,3815,2166,2533,64,43
2027100,720781,31610,65969,34645,74894,16212,9052,54,48
503068,116169,13866,11250,12121,3757,6158,2779,48,41
333717,103562,64772,14688,11651,10744,10426,3064,51,30
630729,92538,35468,32346,20722,12732,20548,3811,53,35
311545,151554,62888,21773,13484,8868,5211,5381,66,24
2036195,175209,27781,9239,3256,3305,4783,5982,67,20
1182330,275574,63063,15637,21958,22336,22152,13005,60,20
699453,602126,22290,14341,13129,7486,7561,3813,40,1
117971,7360,9963,4430,2234,1758,1801,2408,48,8
2025390,1037999,65282,44262,51513,29786,21550,22471,41,14
109663,40761,7660,6159,3375,1602,1429,833,43,7
1226671,267144,53042,8922,59686,14384,6103,3488,53,20
23142,38284,1941,6579,3767,3378,2414,767,37,17
886776,51193,2518,6044,12859,3415,7011,916,40,26
2930879,883106,66410,111526,53922,43137,29086,16593,35,29
917829,39242,7752,11072,2174,3812,1323,941,41,34
1203201,291483,15950,116781,29979,20211,19336,22895,48,29
127387,32226,2087,3704,5036,1077,2279,641,50,23
59092,26487,296,2076,2188,1885,1010,706,43,27
181573,46050,15687,16122,9239,4700,7589,2600,44,29
847702,114148,37041,6867,13737,17416,7128,6843,41,40
323975,84549,24172,9591,5182,8295,8500,9025,50,50
117497,20154,4269,14204,3680,1885,7505,3625,70,47
934142,403300,117598,19806,31691,14546,24772,20045,66,37
302027,188580,49069,47289,85926,14568,10572,31270,66,27
1154491,59774,9170,18699,47002,21025,18101,13404,61,41
298765,72218,25691,7783,2814,7618,3805,2815,56,47
205049,55361,7092,28484,9944,17386,3203,2863,57,67
458678,46026,8322,2998,10559,5182,6012,3762,53,75
466139,149409,20916,34848,45486,31526,17006,21257,54,69
655112,49459,9591,13603,9497,2863,1679,849,53,63
1162159,121757,37540,22244,39125,20912,8155,15988,51,56
170215,123436,20458,19220,5317,5746,1494,1578,54,48
1232326,202852,10717,14122,38074,20515,17989,4678,47,41
69104,21697,4844,16451,6316,3371,2255,1741,51,50
72476,40679,9599,6102,4924,2646,2157,1514,51,40
327172,86372,85552,30486,18947,24087,2732,3493,63,51
1215371,187259,13109,94250,63163,40513,16840,6511,75,56
1253883,327395,33846,16245,17827,7398,2610,2198,61,40
1404560,710458,15063,17851,54138,11586,12560,6817,44,27
361000,82418,32065,21668,10499,10662,5677,1958,40,23
54429,176641,51093,47715,34226,17816,14812,8813,41,14
275535,41603,29255,11552,1247,10129,1129,1686,56,35
145121,15514,7779,8149,3167,5835,4635,1137,80,61
557164,68990,25757,11070,7728,6729,2278,2820,78,60
195216,85420,2572,4893,10394,5898,4559,2919,61,60
683179,209854,73838,57597,26012,11757,10712,6094,57,47
735792,197740,15050,15706,6132,13761,10028,7231,44,35
48070,25447,2816,7880,2193,3586,3018,1028,41,40
289995,75852,5011,6058,1913,6218,3115,1167,47,41
108931,8728,743,1778,4441,3209,2817,1585,35,66
64863,10322,7134,5764,4409,3462,2117,1183,50,75
1466230,132024,10989,14884,24374,14941,8490,4016,41,75
124922,21354,9135,4634,6472,2686,2359,1582,53,75
176471,24886,19402,12084,30747,15371,8802,5303,63,75
330258,12059,41032,9405,5460,6119,2984,705,74,67
37850,16208,1919,1958,1426,886,497,307,77,60
129879,18607,15727,3095,13417,7234,1708,1919,78,69
98626,14391,6322,4022,1295,4470,2302,4284,80,64
220019,49287,37825,3105,6091,7356,3618,1676,67,63
125144,43646,4896,939,2981,6453,1305,2074,61,75
1444693,133581,47410,38118,8895,21695,4277,1015,61,66
71907,14265,1422,2256,2640,1291,720,170,53,57
1311989,40084,67698,27491,13380,17825,10569,3156,61,63
260887,72298,5548,8325,1758,3191,2426,831,64,50
88772,71601,19331,6034,1644,4723,7026,4853,61,43
1616016,227490,168978,76651,57887,36450,23718,13480,74,43
89040,32187,18750,10468,12961,8699,3446,2354,64,44
85148,12317,4287,3362,1531,1395,715,986,74,51
693935,87523,127010,44919,16237,12179,8667,2354,87,50
240061,36708,2976,12804,842,6089,3452,1933,81,54
137724,10211,5249,1512,3150,1274,775,329,80,44
922454,161905,73654,67272,15390,29964,13052,4621,83,50
661846,24637,5797,6556,9631,11068,2205,1662,67,69
86240,73837,5403,4761,10508,2690,4048,1827,56,54
1050613,341605,24661,16992,44108,25891,16377,11441,43,54
434898,50001,3297,24859,9827,46200,7933,8048,35,74
46750,92236,10589,28108,4833,5648,2247,2066,38,53
205185,57448,7268,19152,21498,15553,2850,1519,47,70
1785357,903818,102154,14001,33452,70506,53468,38902,47,69
1347162,48773,19425,12662,9965,5407,4265,3337,51,47
1073465,115782,22536,23814,12099,15041,9485,10461,50,54
1687061,717122,280027,54036,40126,55104,65926,20198,54,41
419307,267576,41628,81039,19690,29985,16878,25051,64,43
247097,123241,25209,4638,9504,10058,6385,6038,57,41
2205388,472692,19505,49548,67726,38198,25227,18789,50,38
1161842,532884,129606,47267,14587,20543,25600,20382,47,35
1061918,197236,56730,27157,11314,17107,7919,5025,47,30
672979,34863,12708,6856,9815,6423,8492,3383,51,38
149092,160253,13092,17378,6767,2521,5103,5613,54,20
2945805,153718,17453,15030,13342,10407,16467,9247,51,26
562885,93391,20399,34775,17401,13043,20317,8531,51,29
41588,46189,6104,3240,2112,2878,1618,1730,44,21
1041283,27751,56881,23749,6210,5294,2219,1707,66,35
962740,44867,9044,9499,10255,5806,2902,1819,70,40
2009117,578071,14591,89997,49430,45188,20341,46975,61,38
727621,30338,1332,4815,3748,3105,1683,461,60,43
2176984,48783,82267,81072,13238,41929,24030,12438,57,57
46667,15988,2217,2238,1011,1812,2138,1310,54,60
223689,58164,40032,9044,5892,9462,7888,3187,67,61
244968,22342,20617,1748,9703,7183,5591,2861,80,69
805385,316958,41737,44346,54530,24758,21013,16267,61,56
288471,25519,1340,4351,2853,3275,2155,2220,60,56
1504425,485600,50470,86199,115167,49125,39085,28755,50,54
2407768,279948,36844,7729,16555,12577,13791,15583,38,40
127103,184680,26984,17459,4817,25194,14817,7254,37,44
162261,87553,5199,5980,4011,14346,6739,1985,34,50
504734,99239,31673,7022,43872,21083,20308,4697,34,57
2239769,159265,15199,2412,12775,8035,10494,2575,29,60
820354,85395,27493,53659,52101,40072,11335,21522,38,66
209544,11380,2382,4602,5210,1438,3209,1257,50,60
420633,121099,20926,7518,12893,10302,8795,2584,48,51
137151,39055,3524,26494,14210,6949,2832,1235,61,60
30445,27754,16705,29144,17157,6061,4939,11561,67,48
582142,153857,68221,32992,24219,22730,9400,3121,69,50
181464,115883,12674,7768,10704,4765,4966,3339,66,43
431686,114805,37801,28410,42951,24790,12755,4721,64,47
153426,24329,49047,11423,7280,8273,3310,742,69,48
2114400,107830,9123,11660,4136,3219,6138,2217,60,35
289100,109821,1643,32366,24837,10012,11541,2748,64,41
754684,81860,14210,10554,5838,8657,4649,4958,61,37
488443,65407,18789,16400,18388,12060,4170,4179,50,38
548961,259888,147517,126114,89095,53920,24218,12087,63,51
445608,830714,18163,33516,24659,23945,29338,15074,50,41
1349071,33390,21005,9008,15052,15161,5949,4870,53,53
1390275,510854,14964,61341,70066,30358,14325,12266,43,44
106888,20565,20530,7323,7628,7897,5201,2258,44,51
504073,115333,61846,45404,67929,23574,17998,6214,64,66
605909,297526,9242,14378,63451,26352,29393,9640,47,54
241020,106113,1978,7344,6034,2239,4758,3145,43,44
2750996,307494,72275,47685,44027,29005,71625,30058,37,35
702046,176097,55723,44904,24753,41489,16554,9628,34,38
105334,49077,20959,6100,904,3101,7833,6541,53,29
1715088,289354,39165,83589,74188,48597,19704,17182,63,50
117961,19505,962,2043,1182,1810,1931,2050,56,51
211301,43253,4796,3924,16961,7026,2965,1612,44,51
275457,6684,17788,3721,10599,3279,3130,3158,51,61
416202,226799,47172,33798,22237,27574,13723,8124,50,60
49649,11503,4479,7640,4067,2028,2287,1550,63,60
74787,21741,25454,8514,9946,8833,7291,2946,81,61
99336,39463,12144,6387,14539,6864,4656,4794,70,61
97817,41214,1974,3547,3462,6239,5401,2279,63,66
191712,96031,4884,30470,10155,5488,5455,3038,56,56
24703,9280,3801,2582,384,1275,1262,937,53,48
1323076,446601,93311,45399,39117,38579,69465,19119,51,43
296319,326730,11873,38712,42658,19176,18636,5931,53,34
1196761,279797,43128,73647,75036,23597,28022,9763,53,38
1414146,154015,9990,81991,62174,36140,15120,16870,48,44
672439,139855,11803,69880,78101,52144,22166,8503,50,56
1418428,303888,67801,41265,38873,33253,19189,14835,56,63
140088,90617,5520,28053,23113,4060,10933,6553,54,56
620168,22956,14605,14728,9789,7547,8545,11262,61,56
884802,107369,178637,68983,15553,31873,18311,17379,78,48
1679548,80047,6747,7670,13019,5096,3367,979,74,43
343625,24560,13961,5371,3974,6660,5745,1966,78,60
958602,99296,301457,63530,22260,46267,61810,25243,88,54
2351731,296513,49517,11932,44267,28066,56859,36354,67,53
2092879,358628,67819,26132,37051,14739,7917,16041,70,48
830015,159379,91961,78446,40544,25754,15664,9096,75,40
1017889,155218,44645,27605,14752,36520,14194,18810,57,47
209132,47334,24919,3007,7479,9729,4521,1323,66,50
340826,52141,7272,10204,2628,4530,2967,2260,67,56
186711,5246,5391,2870,3220,3130,1287,921,67,67
258139,94196,8053,5511,5554,8002,3999,2568,57,60
178617,49910,7366,1723,3915,8487,1966,1628,48,61
1437871,97394,28854,36352,19169,12167,12675,5948,53,63
783509,83928,17166,10371,9250,7653,2296,4588,43,51
268329,51616,21038,14376,16572,5355,5890,3106,56,50
136396,25990,17916,11734,10058,13635,22313,20206,67,54
311543,222029,67292,24108,29075,10153,16660,10084,66,47
21138,23066,1300,1251,2844,2551,1108,648,56,50
735526,261287,44151,51731,135254,51182,24003,14644,48,57
205430,27540,14009,9369,7997,5357,5883,5124,48,50
1653221,391890,214756,100994,92508,76953,60752,64706,51,63
1486200,272643,27792,50609,67840,17763,22838,11325,61,56
1250799,392535,35314,65109,21879,15203,25427,31605,61,40
744232,481170,448540,96879,218102,76959,182447,69894,64,35
1781577,246757,79475,22075,53215,21641,30929,27222,60,29
481469,160415,21988,31949,19869,19426,19329,4993,61,35
642955,64839,11204,8000,4605,14475,6950,4859,61,53
594287,232610,50406,20718,27676,14872,21998,15988,51,50
1144199,548235,36569,38503,84530,43512,65565,31159,41,50
1322517,368036,26763,32539,14087,28953,10422,3266,37,47
1281729,103955,12499,23886,19974,12309,23751,13430,37,40
2191304,67434,12079,32306,8753,7233,3581,1602,43,43
141894,166420,68742,6190,39122,11102,9431,3935,53,40
479659,429524,2152,115360,125416,48494,47088,18204,54,41
147729,55629,4647,6380,2104,2991,2597,989,51,34
805046,39235,4119,3319,1503,2479,2436,1895,43,29
822708,570108,117384,50126,178529,148843,16186,31515,38,47
371724,138760,29650,36338,11534,12860,10413,6748,44,43
582608,121786,19375,2644,9048,10210,5800,11781,43,50
50887,27627,22995,6929,8449,2821,4992,3930,56,48
1729188,87205,28288,70169,11375,21894,8021,6076,69,41
1196025,50733,44744,27731,17676,21256,20199,6700,75,51
221288,576356,27245,25287,33215,17871,25513,25393,67,43
182207,22752,26901,7422,4945,5393,3950,4447,69,50
99291,21707,5810,2354,1955,4005,3497,3033,60,51
252781,592091,46346,34257,26827,64341,18419,18705,41,47
139794,34579,5093,1704,4074,1606,2325,1349,48,50
1408010,247001,141710,24473,36690,78282,11957,14059,41,56
264484,237105,28181,27934,105185,30194,22069,12966,37,53
3713969,920303,57028,44881,40183,14621,8956,6099,35,34
1330588,78833,28165,23661,4730,11023,15238,6889,44,41
92926,2771,699,2025,836,689,285,1206,48,38
379122,44547,4782,15665,5248,6426,1500,1155,54,37
201042,30636,3871,7124,3266,1711,2050,1313,64,48
264298,109722,8274,13304,17550,5984,6410,3393,53,40
186010,29587,8148,8389,14549,5627,8708,4955,48,40
671797,51161,31817,13951,8480,14937,7839,4054,53,44
1620040,449648,12636,74197,53411,70641,66450,31407,47,56
1549664,832048,105840,170780,99460,52388,47727,58491,53,56
303451,403729,33399,8006,10354,18167,10061,15630,41,47
565258,139671,17096,44375,28136,15866,15850,10894,37,40
581300,72727,21267,31846,16529,13247,9613,6380,47,37
1589203,226804,33129,60840,33271,42053,15866,9718,47,48
82913,2353,1556,1764,679,353,439,91,66,53
1449951,736224,34101,22102,58834,31129,11945,6208,53,47
536015,48953,17555,21637,8980,6796,4641,1467,54,44
780770,132712,34501,5097,6768,12736,5006,2741,53,38
502885,49629,4923,24319,5466,3773,5396,1859,48,35
181841,66809,5788,7853,11479,5857,4432,2289,54,41
919342,69636,157878,55063,107116,37736,19847,16234,54,41
271782,192452,37336,11368,30746,10781,13688,8096,44,35
1231123,838461,133750,114212,75251,51212,69800,90106,47,27
1689391,140535,40269,52038,38623,25785,22925,44903,47,27
410977,61793,7785,34950,28935,9964,5531,2888,47,27
728704,133917,18604,142440,106466,27951,8321,3581,47,27
320027,170661,34205,126398,99736,25508,18076,12964,47,34
897672,439711,109648,30228,25555,21110,6307,10451,51,26
352650,109945,11527,15288,42616,5986,12325,18785,50,24
401262,34089,359,5639,5343,4909,5968,2374,44,37
3311848,368362,166709,69329,42283,36235,50290,66181,44,34
425790,69023,10297,6382,9671,7857,7056,4515,41,43
309221,215246,98258,52783,14124,7460,17137,8859,53,37
913644,1011802,206975,39345,32951,63251,88074,48319,57,27
1724685,237767,53697,48548,31273,56603,16658,11003,53,38
324059,80719,2661,6418,2261,1682,1390,1891,53,38
452413,84626,20476,14332,9766,18817,8441,9534,57,44
725968,91633,17638,58521,5840,9005,6178,8936,60,54
2847589,1979118,559578,310261,136082,68826,69561,51915,63,47
876235,20651,6864,17243,5606,11912,3178,1590,69,51
298364,16806,6745,6001,3623,3494,2615,1566,74,48
1485433,657942,178376,29963,65155,47412,43177,25766,64,48
811081,70517,36420,51738,44945,26694,8951,4353,67,67
1600161,482900,267316,139599,44200,46064,17755,16354,69,51
735054,308019,74456,29108,57158,23968,12730,16307,64,44
2086907,1485948,389201,140130,197989,130576,178074,125174,64,47
1251036,240278,61534,47563,27415,16284,10583,8119,61,30
325335,82774,76554,43873,15598,38088,23737,16427,61,30
2051072,96160,35805,29810,16333,17015,10358,3294,61,30
1727471,319564,22476,98990,28237,9971,27776,25456,54,23
1276955,332872,28032,23332,39011,21518,19624,16883,48,23
2451842,416973,184141,60008,81309,74682,48747,25789,51,29
884678,285131,52105,21382,10406,16116,11592,10352,47,29
1407831,81459,69233,34419,15666,11689,12114,25421,54,40
81578,85193,6604,2113,3317,2766,3224,1413,51,34
631728,20133,12474,18731,3936,6440,2913,1914,60,34
94687,58999,16602,5372,3893,5202,2201,1800,63,37
368896,52414,76484,5369,6856,5357,8522,9309,64,30
964189,38661,7246,16288,13670,5991,2729,4585,78,43
718420,28935,78996,31532,9180,25719,16226,6160,81,48
1548133,157774,28836,45084,44446,35324,16025,11125,81,56
307277,20803,23628,9033,8478,4402,5463,3385,80,64
432158,154134,53617,20962,6418,21346,6606,9060,80,64
1590233,118789,67841,6314,34068,16285,16943,7199,69,57
1485600,169369,112524,66708,60024,40712,42723,21915,75,54
215717,400267,36745,37389,26562,16015,25485,9341,60,47
1364366,136109,109238,36775,39775,19698,23191,11370,64,41
1767575,188152,43133,22868,6414,11246,7462,5833,63,34
244405,9369,5217,1560,2326,785,761,395,61,24
233088,73619,20308,34520,12486,9596,2952,3194,61,24
2117346,520372,39661,218464,213645,95348,48096,24886,67,40
107683,69952,10150,11251,10153,4321,11549,4351,57,37
806187,286768,35459,138389,29470,30986,52205,33890,60,43
1609211,204892,187757,102122,26095,33842,19873,16351,66,47
134082,52237,22182,19956,8116,11273,8052,9197,70,47
1617484,112442,30840,68216,20126,25992,5751,1721,70,47
1801535,51164,8029,59406,26291,6844,8474,3552,81,50
3136778,406254,154083,58263,13508,103238,156872,52874,80,57
225574,24252,2884,5678,4745,3254,3423,1815,67,61
141799,19707,6354,3227,3064,6404,2140,2103,63,67
412135,72886,138719,11725,50063,24242,25955,15975,64,75
440804,417540,26243,30349,25088,21638,8342,8938,54,60
287991,36149,27808,6707,11817,13268,6378,5188,61,67
1108700,51801,19293,26188,12170,20823,7661,2623,66,67
726061,211731,96263,3545,67246,39767,10635,15937,54,69
55638,56025,2626,7934,16308,8796,6279,6877,56,81
170883,19316,14343,27123,3338,7051,11259,1829,64,77
646411,191426,29896,9937,9641,4806,7330,3112,54,50
1371660,276942,55239,65509,28479,48505,26202,25108,56,50
1349388,78534,13965,16990,4344,5692,9564,3298,64,40
2717216,600606,370020,442219,571009,160340,39225,22506,57,40
891171,5094,23011,30771,30108,7999,4709,2663,57,40
580518,19413,2189,10441,5696,3321,606,547,57,40
571929,29223,15052,4781,2967,1507,1287,1210,66,44
1088803,15624,19833,12621,14903,17535,2037,2399,66,44
269181,39457,8801,9910,41935,17268,8941,3614,61,54
198441,293977,58073,61393,23381,17200,17895,5709,60,53
149709,23986,1882,8367,4547,2678,2564,816,54,48
1295814,117213,47498,22175,11789,25020,12220,9432,53,64
1383208,93260,37271,17923,4816,7275,4720,4416,63,44
1872035,280620,17698,33481,44086,56574,11442,13412,54,57
714579,218297,495561,36688,28276,17207,29733,7971,70,47
765082,42346,27774,26997,19927,20074,2137,1684,74,51
322018,16644,1212,2713,2763,3993,406,298,63,66
263320,23711,3768,4481,2427,3868,1576,824,69,63
240905,81599,28084,7807,22842,15228,13185,5609,53,81
463518,69447,13980,22666,13407,15664,4666,3659,48,78
1277700,363461,95586,33918,17131,28991,14277,28873,53,64
1054885,54347,21385,11903,5289,7389,7566,5626,57,61
892172,57932,11791,12247,5450,3712,1570,1302,57,50
724288,26975,5500,10716,14433,5411,1693,701,57,48
571876,46112,3400,9793,5926,7886,3115,1475,54,56
1654374,110990,15371,19804,18472,5604,6606,9952,50,47
864072,177933,18522,20612,16066,16932,11025,5569,44,53
797367,22061,449,5659,5721,3324,1723,1338,38,53
135961,124380,23635,27774,6224,11131,7410,6400,43,44
665971,31331,23963,6453,4169,2487,1394,381,53,44
60648,51007,28020,8030,7258,3721,1073,613,61,38
876984,74088,26872,8474,12760,11161,3146,2825,61,38
963539,42413,17410,9238,3539,3808,1373,373,61,38
169871,20887,2803,3343,1107,1392,975,331,66,27
1023521,196195,29386,33960,24613,15895,5505,2569,64,27
593324,306837,44283,59534,14359,5837,4747,990,56,17
140902,89860,29025,28970,3410,1709,773,1260,57,3
105347,79312,3012,18282,8149,4488,2048,2436,56,1
466808,43479,4929,9150,14547,4908,6327,2731,53,4
420536,52290,4396,7994,7467,3334,5664,5491,50,20
907352,25709,8345,4533,4676,3563,4316,1047,43,41
326282,55946,15035,14128,8155,3522,5186,1144,50,41
208415,29029,30167,2773,5898,1799,2066,845,63,29
1292654,272170,9364,46462,34218,16256,11558,6004,61,27
123358,32090,6959,1825,5577,2640,1760,666,57,26
608113,132157,19565,19187,6464,6713,5371,3886,54,26
843556,163107,22274,26299,17896,13648,19197,6153,43,35
735628,70689,24906,34660,8469,6181,4035,1643,54,35
252041,80896,25519,9708,2478,8655,2480,2308,60,37
131308,37151,2755,3859,2872,1170,1394,757,54,34
894177,271670,15521,48299,20525,12701,19501,23656,53,26
1104386,150262,24914,11184,9868,6283,19643,3374,41,21
530479,60860,26254,78264,46660,25231,5043,3331,47,29
463009,41201,6454,19126,10509,9566,2191,2265,56,47
431943,66497,9032,3196,7372,4157,1004,1508,53,51
173156,35782,38367,8455,10473,3659,1454,955,66,54
718825,29272,14486,7973,6972,3845,1315,526,66,54
108446,10921,1932,9357,3495,2716,1493,134,66,51
186654,47444,1460,7198,30459,6588,2023,2363,53,50
2461332,16118,27563,12659,15340,7442,3070,88,53,50
245082,60168,8200,4619,21434,18954,2479,639,53,50
1790729,779192,64427,81629,69602,36690,11140,6717,53,50
929161,98167,87709,21993,79398,10925,9003,1656,66,50
976071,557768,37729,20649,24497,52890,6868,3785,44,56
1269720,136824,214461,51707,40547,17951,12769,4279,53,44
223870,64554,27620,8084,5735,10894,4211,1302,66,43
276807,24042,8070,934,2133,2451,1478,566,61,47
961698,33810,1994,53444,15475,3492,4506,2575,83,40
2158613,429180,16761,69296,43358,49801,18609,40054,63,48
62077,10570,3830,882,1779,473,446,156,61,35
341852,43364,15063,3651,16883,7788,2792,3279,60,41
793545,145360,17564,71161,33293,15195,16450,11142,51,44
845455,241480,31897,36118,66855,24973,17008,7239,54,43
1093747,45469,13791,28811,16674,4080,2779,986,57,48
366803,59868,4901,4779,3982,1055,926,428,53,26
233404,22302,4916,10863,3454,9991,1110,1809,53,41
320640,23168,18400,3307,4163,3217,1547,888,63,40
1418579,35496,19382,31771,13862,19914,5381,5075,64,56
91759,7495,2596,1584,1605,1413,587,356,75,80
130698,56669,2128,7337,5615,3898,1857,776,63,63
92947,13834,1467,650,3027,1678,433,798,47,67
928978,289532,4346,27131,17688,45225,5832,3558,27,63
1330711,90911,32361,17493,15160,17004,5867,3708,26,63
393089,263992,20529,12275,54158,8338,12373,3169,24,54
42245,3740,2109,1449,2239,973,425,137,40,57
256889,412696,66824,50581,19247,18052,3330,5612,50,41
605856,51245,81143,10699,20578,10253,8706,3975,57,35
573792,20591,38305,22387,20189,28864,11690,3289,78,63
66927,31555,4175,598,3126,1925,4514,1333,64,54
671909,72275,11506,22064,4684,4807,2358,2202,69,60
378907,74680,125122,25793,30351,18830,7977,6944,70,61
58984,13492,3063,955,1904,1054,614,300,57,41
148242,13237,2346,13080,2621,3096,1052,2757,77,48
64931,2508,7630,3690,2261,2329,1307,1065,88,63
359197,26063,12133,4406,8459,7389,7490,4232,78,69
80590,18248,1872,745,1661,802,932,905,74,64
1108794,411814,47979,14226,20554,12982,12628,6354,56,48
1192293,168703,174868,21710,13541,12891,17719,7162,51,29
700739,44614,6238,31051,21814,7291,8845,1977,51,29
1032375,17646,5408,8460,7271,3257,660,327,51,29
79947,47383,7185,2502,6685,8689,2409,3574,51,29
1127343,1131448,219015,25123,132135,78837,94344,42894,51,29
697998,39524,5806,3616,8548,4421,878,547,51,29
1351268,154229,7808,89485,53040,16400,2085,5312,51,29
2990360,118852,86412,79025,94849,40743,12045,10153,51,29
561855,38124,30983,5372,6500,2685,2740,979,56,11
599044,201519,46572,124269,85845,17327,18637,6841,70,14
969774,46286,16763,64822,13331,7075,5878,532,70,14
929129,29616,7118,2854,7124,2529,948,259,70,14
1456953,783216,148821,84439,44335,18682,19185,11022,77,11
714398,6892,5230,5974,1527,3274,2821,1181,77,11
1776503,85111,17418,8953,19568,5578,1796,607,63,14
166801,24001,7387,2329,1900,2459,795,215,56,23
746911,50181,3509,26770,15526,4055,2339,1364,53,23
65402,9163,5099,2227,3108,2085,702,373,57,44
582528,180696,41142,16756,11458,17814,3827,1572,61,50
34174,16150,10109,5905,2335,1672,396,240,69,47
2336196,541060,69391,15865,82267,33230,18774,4011,57,48
326603,40843,38254,24236,24897,6226,7685,968,63,40
837525,810170,453199,296949,169139,141155,30458,28987,70,43
1583448,66502,10880,117907,49804,22729,7573,10704,70,51
368414,28232,22912,18575,14430,4899,2662,1589,90,53
277708,490640,72246,27013,39172,51508,11146,2982,75,56
1296910,295305,183037,70269,31262,21871,9338,4520,77,47
89172,141366,50772,13303,11398,5133,4851,903,69,29
736384,138793,40246,41899,40986,28896,6568,4549,61,37
194598,56718,7417,11183,26072,10845,2852,1319,63,41
1516006,1576920,191996,217684,127351,180828,28215,29325,51,51
293001,120257,10763,7194,6630,3346,3852,684,41,51
1392117,203233,35968,80684,12368,29315,18175,5561,43,47
705289,502995,59031,159978,18432,13715,11708,4808,48,24
853674,76346,12181,22096,6599,11256,2584,2641,53,26
861643,138490,14335,65730,104952,84150,10072,4639,53,26
214893,26018,5514,3284,2783,5171,4204,954,60,47
1475873,147497,22924,33283,14042,11234,37421,7037,54,40
2176508,101003,3080,5061,17691,5681,5616,6026,38,51
1560927,549932,101816,132735,44273,40498,37783,19262,38,44
377575,53410,2001,4585,4990,4272,3367,788,29,37
2229539,42768,20815,7407,5932,2931,1554,1571,35,35
326303,30058,8364,14402,8165,4587,5051,1248,54,40
1505180,496955,104504,128006,44983,36632,44406,9948,54,40
47632,99880,10861,5022,14450,17458,6524,5484,56,47
668147,33129,4369,3484,3852,3561,1700,628,48,54
810632,38142,13014,11831,5686,12977,9090,5852,47,63
329942,16510,7513,2852,3561,1699,707,2080,48,66
290692,29683,4167,4157,7134,5328,4265,705,54,64
1974621,453961,88909,44397,99900,40602,21122,41426,54,63
195370,39002,9155,2966,5561,2708,2114,2035,50,48
1388172,464556,179331,187937,36848,55028,32948,31451,51,48
53583,36378,10017,4591,1820,1596,1379,2310,57,34
1313336,132262,24000,14519,20134,9909,6975,2634,57,30
377122,143485,49452,16607,5417,3235,4696,3872,63,17
147905,117825,76399,3175,9271,3759,3619,2075,63,4
133251,15466,3724,4109,1690,2522,998,1150,63,17
62287,97721,11599,10485,2366,1908,1760,1446,61,3
857273,322171,61299,22481,53759,16293,12050,6168,56,13
127654,34808,11111,3285,3636,2790,4195,1326,51,24
277399,80050,22672,7522,7124,2695,3347,1049,50,8
61202,25070,261,1016,1468,465,582,277,35,10
152951,21147,6719,3794,4722,1307,1213,850,40,10
