62,2020.3.8.15.20.46,995158,198511,149245,118033,201465,111963,132399,75943,0,0
63,2020.3.8.15.20.47,653558,383152,312188,159145,66050,62313,55471,24189,0,0
64,2020.3.8.15.20.50,1139026,501308,270227,250003,22246,33755,51691,69911,0,0
65,2020.3.8.15.20.51,493740,114708,32847,23675,34812,19956,11100,12930,0,0
66,2020.3.8.15.20.54,901280,46579,13927,7812,7600,2493,2040,2191,0,0
67,2020.3.8.15.20.55,302127,3086,533,498,359,166,31,16,0,0
68,2020.3.8.15.20.56,674996,33604,14774,10806,4957,1389,253,121,0,0
69,2020.3.8.15.20.57,2269161,56414,9139,35711,20131,27914,4970,2747,0,0
70,2020.3.8.15.20.58,372069,59888,4325,1452,3079,2941,383,243,0,0
71,2020.3.8.15.20.59,739939,31329,5245,6287,7258,8986,2348,707,0,0
72,2020.3.8.15.21.0,618926,96406,16651,8709,3743,10838,3385,1499,0,0
73,2020.3.8.15.21.1,262748,25364,9343,678,1243,2824,213,163,0,0
74,2020.3.8.15.21.2,846460,36658,2486,8924,5752,11220,2150,590,0,0
75,2020.3.8.15.21.3,1673913,158803,13562,38936,30726,75261,71705,56543,0,0
76,2020.3.8.15.21.4,380382,35284,15013,8741,3274,5320,1901,1175,0,0
77,2020.3.8.15.21.5,585527,50970,3569,6261,4917,3891,3700,1989,0,0
78,2020.3.8.15.21.6,901170,113996,2335,31352,21937,38579,4206,980,0,0
79,2020.3.8.15.21.7,810540,88437,10832,49375,86857,61778,2454,996,0,0
80,2020.3.8.15.21.9,2376973,135876,23158,7833,15216,42044,13651,14284,0,0
81,2020.3.8.15.21.11,972890,12272,5876,4024,5837,15317,4033,1860,0,0
82,2020.3.8.15.21.12,2316438,107203,16822,31086,36234,15060,3597,1819,0,0
83,2020.3.8.15.21.13,1057737,58153,17149,9265,7082,5507,1075,394,0,0
84,2020.3.8.15.21.14,346053,3048,377,721,1307,1387,100,91,0,0
85,2020.3.8.15.21.15,828645,15824,9492,9258,6692,5188,781,858,0,0
86,2020.3.8.15.21.16,690202,556457,449194,111393,166271,152823,34017,29478,0,0
87,2020.3.8.15.21.17,558432,23907,9891,3915,3210,2358,642,501,0,0
88,2020.3.8.15.21.18,1752888,388189,229040,70335,152106,105855,112399,140490,0,0
89,2020.3.8.15.21.19,757003,586476,311890,71242,31618,103372,149533,261598,0,0
90,2020.3.8.15.21.20,914918,98391,44169,85460,118393,60027,11850,5045,0,0
91,2020.3.8.15.21.21,206604,52010,34541,31044,15227,21033,14110,9101,0,0
92,2020.3.8.15.21.24,31051,23455,34209,72856,26406,5255,2216,1569,0,0
93,2020.3.8.15.21.25,155262,10042,1323,1980,3094,8925,1638,693,0,0
94,2020.3.8.15.21.41,840671,128735,17953,5410,16489,26429,5013,962,0,0
