1302680,463346,89297,53655,38154,30697,45304,26689,41,30
246697,30588,6369,1287,5874,904,4782,1358,38,13
1189033,165531,20382,26197,13289,12835,6626,6113,40,13
963992,515938,106761,42857,22199,40206,20970,17655,44,11
148151,48116,5281,3913,1789,1703,2394,799,37,7
145957,86545,18694,24139,3652,6299,6099,3890,57,20
1761704,78534,33519,12677,18036,16467,8254,2410,69,37
801528,502331,49336,38685,21182,6979,7551,4484,54,20
342031,42678,9117,6660,9546,5967,3797,1539,66,47
1294892,324785,10982,17547,21374,8601,15005,7641,29,47
368245,31936,5591,5909,9125,1549,1867,1054,21,29
160838,59905,3763,15205,6121,3551,6448,7154,37,50
82155,30101,14939,8506,4050,3736,4216,2473,83,63
25011,10854,543,7854,2013,4846,5234,2287,77,78
167845,21305,7547,13941,5074,6070,1502,3677,61,93
149373,33876,22328,1637,5066,3190,1471,2377,63,87
466470,259338,64232,31535,36903,34215,15415,10288,53,91
727975,20059,24064,23474,9076,11631,11203,7709,64,87
257478,16937,5284,25113,5214,6581,1648,1691,69,87
114811,12221,10309,1492,3506,4406,7994,1313,70,100
719512,60383,13146,12686,17036,23935,14558,4985,69,100
617422,28509,16291,15797,4398,9481,8609,2906,64,100
18485,2817,2538,1213,547,673,744,862,63,100
968253,387879,101721,96938,20154,23901,18041,11053,60,90
114754,99378,32775,1505,4785,6004,5929,8185,63,66
757145,53088,9376,6074,5572,7423,9038,7353,48,60
62076,5620,2209,653,2072,3376,2969,2283,75,81
98221,114901,58138,20781,10291,26572,13607,9724,67,88
276166,75201,11813,8466,3812,4641,2040,797,40,81
196853,16873,1930,8969,2764,5804,2514,1521,38,77
920142,313867,13541,18877,14805,21212,10909,8725,26,56
76649,7898,229,4424,1596,1084,1988,945,24,51
72318,88435,22796,9347,5954,5370,9657,4089,27,50
1240350,113107,43892,144462,22314,43967,13441,13392,40,47
898681,44531,17358,4238,2577,2266,4368,1919,57,38
585825,586451,173321,88264,245865,56123,61529,49049,53,37
1498572,185217,56572,117703,74012,31855,40275,21205,60,44
630713,627081,135046,232080,204864,154861,72920,149813,47,44
2829701,1614617,520902,191714,202742,91082,157889,92788,44,48
1923107,265011,79191,73713,38602,28513,36088,21041,48,38
364960,51281,29728,12097,4178,9384,9773,1943,50,44
474095,164595,16427,7593,16739,4287,24385,3141,41,30
274356,200422,23294,16587,18764,20582,26263,5064,27,38
752798,73441,95333,25729,23544,20642,16105,13619,38,43
83234,77862,19095,5639,3919,7090,2798,4091,29,38
84140,11587,4210,1484,1602,1434,2062,507,43,51
751948,224505,13934,72109,20612,39782,19614,17981,50,54
75596,3497,1956,1391,1001,1970,1648,1337,43,64
906685,31856,38499,12217,17501,39203,41080,13151,51,84
64264,13527,1875,3622,6759,4756,8639,3535,43,96
144377,55370,7293,8257,3164,13547,3974,2575,40,100
949912,35521,9558,2489,10512,9582,7353,2560,29,96
24909,33940,3519,2127,4144,1592,790,950,4,35
204954,36824,15717,5451,7266,3939,2852,3265,11,41
137028,16702,28004,22577,7794,9897,4857,1743,40,29
57431,30051,4017,2792,3406,5448,1127,451,41,51
24634,3153,594,3435,859,2397,1048,731,60,74
15853,3007,3568,433,1097,1645,664,463,64,87
2028727,56511,19266,10803,14641,8298,3274,1576,48,83
42803,11628,2192,17226,4923,4392,1068,593,67,81
87996,17542,13340,14657,1842,2562,825,924,77,64
153636,50138,7060,9197,3434,6380,836,577,64,54
