,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
106,2012136,767594,346455,258571,196481,471002,116212,30325,93,64
107,713087,15210,4003,1507,1424,1492,996,459,93,64
108,1118346,30284,11480,6376,5591,8014,18049,2977,100,57
109,690500,9263,3418,5221,2320,2248,1905,3086,100,56
110,221317,75761,4231,3672,5707,11072,9877,3235,91,53
111,373613,49739,29913,22231,4596,6698,7746,5176,91,30
112,81925,137035,21969,14040,17972,23802,22494,11876,64,27
113,128823,13443,5599,2593,2774,2512,408,669,53,26
114,444351,56624,12861,1643,13255,6225,3693,2864,67,21
115,308485,27689,2782,2611,2143,2054,1547,1480,37,20
116,755925,8013,8641,1666,2857,1942,1613,1013,63,17
117,97178,27289,2861,3230,1309,2469,1515,915,44,11
118,1278090,170249,44144,39876,10231,32977,6995,3798,44,11
119,650358,299154,47054,28534,15374,28525,4135,974,48,10
120,201570,47030,3729,17842,3956,2312,1772,861,64,1
121,1229077,183950,49694,121144,13968,15632,22337,11372,63,1
122,424110,296284,27828,113224,62337,17302,13889,11825,78,1
123,346422,3724,1543,4188,927,1697,2698,1502,100,1
124,128441,26316,9273,4692,3841,1998,816,1276,100,1
125,1395982,490301,90146,19285,91912,28999,28755,6571,77,1
126,506544,283340,57941,40714,68421,23999,29491,11243,69,8
127,296552,156453,28336,17086,32474,4639,14348,8748,47,1
128,179787,21671,8282,4284,3833,3029,6203,4172,48,1
129,581240,357402,45698,118160,27012,26615,13946,10884,64,1
130,578845,418474,190289,29739,42141,29514,19325,11082,75,1
131,3243890,261843,56418,196093,52798,60683,26651,13166,93,17
132,353203,462605,60522,19931,25526,39469,15810,24731,70,16
133,2900937,202289,76626,97950,61612,36759,21791,58434,77,24
134,701568,81943,11051,24574,4700,10850,5600,1998,74,30
135,1604977,125058,90739,86589,46783,34523,9285,6790,77,30
136,93177,18830,5711,5727,12075,5551,3948,3994,91,44
137,159516,30030,78245,81380,13767,14318,11901,21395,100,41
138,158233,14694,16790,6600,2366,3109,1867,3472,100,40
139,73775,4856,1952,2561,1574,1363,1298,510,87,41
140,748236,34383,9531,26499,3603,5779,2518,4269,91,30
141,430208,263928,142330,33069,13975,25805,22345,8560,74,27
142,941766,211454,146964,16034,13482,20561,12210,10141,64,24
143,873198,244579,27276,18930,3008,8342,13253,5132,51,4
144,504358,16392,14433,2933,3789,2732,4256,1541,50,4
145,758175,57777,11870,18189,25721,15309,5561,16342,41,17
146,639787,79750,1043,9793,12799,8094,3984,3482,17,24
147,1223762,52763,16167,16369,7458,6580,9245,7615,30,35
148,696693,10252,7711,7688,2524,4203,339,637,30,35
149,204771,19760,14641,11543,2066,6582,5168,6285,34,43
150,702440,161337,21450,30952,11692,6950,5549,3179,34,21
151,201085,154099,30744,12980,32574,12853,19674,20731,41,16
152,319877,181528,19044,23940,18029,39863,14388,16358,29,26
153,104307,12259,1885,9372,7947,5101,3065,2652,20,34
154,1352137,170443,67215,14752,11859,6032,5210,3513,26,29
155,2054305,91496,5614,43084,12119,33083,32008,7625,30,47
156,332477,28683,6034,7736,3558,11093,4792,3568,38,51
157,598644,223702,16387,13429,50252,22377,24782,10567,20,40
158,89001,135827,56204,28866,12454,27884,20198,10187,21,60
159,151485,80698,6209,8218,15855,8984,5633,2668,11,48
160,2106752,211784,83694,13248,35595,47875,29966,20082,10,43
161,593948,20042,10828,13980,6977,5684,3302,1791,37,48
162,2029182,161145,8717,65538,9767,41882,17130,11459,34,53
163,407406,57668,22353,16011,13046,25826,51456,8982,47,64
164,823558,105018,8566,18314,33046,32554,19747,9119,38,69
165,1039676,120010,15283,16766,13381,37629,37105,17986,21,78
166,561742,86093,13999,7623,29459,8355,8909,3784,10,67
167,101712,47880,4544,6477,10283,6064,3220,3139,1,56
168,434617,31227,15305,9294,3221,10247,3955,2271,14,53
169,206301,43956,929,11907,3972,12062,4451,1737,14,51
170,160220,12470,3443,1935,1266,1133,1351,480,24,48
171,231767,8021,4676,7396,6242,2832,5335,3400,43,54
172,124936,18611,17718,9026,26114,6918,8120,1537,41,51
173,392235,200794,179952,111533,59119,16119,15163,18538,41,51
174,142869,124963,50020,16501,28065,14608,7641,4852,0,0
