,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
95,242370,123468,37889,13911,18025,17025,10072,4647,48,1
96,27983,63379,62521,18696,23809,16279,6022,9718,61,1
97,396220,119989,65040,8600,15337,17537,7168,7926,61,1
98,201430,120968,7172,15253,11013,8808,9301,6974,40,10
99,57076,32282,1563,4986,547,2184,2004,1297,30,4
100,12232,53871,12297,29669,5811,11576,6367,6931,27,4
101,1633775,97432,35649,32591,23941,15951,14228,5452,29,4
102,1461909,97378,21225,14981,29011,7968,6715,4029,37,4
103,573458,155729,28252,39589,31738,19507,9049,5402,47,8
104,139782,41544,8888,23641,3417,14181,15666,6893,44,10
105,42987,25400,9232,1960,9209,2210,715,696,38,7
106,188377,91125,17276,66178,13666,13503,6942,6567,51,10
107,218985,43788,26773,13282,5161,11544,2424,1220,60,13
108,1532288,216512,160697,326408,313853,264123,72894,17162,61,20
109,25406,41385,12157,13685,18512,15536,10185,4152,61,29
110,576310,149759,42150,19477,19547,13180,5340,8572,53,26
111,734063,50047,7536,21874,22032,19745,7663,4515,43,30
112,587117,120534,9821,41748,11893,12453,15590,2051,37,17
113,86329,57692,3388,4598,3388,3362,5969,1379,24,7
114,399988,84594,35733,33783,11394,11087,3498,2609,30,8
115,279874,116733,19899,12236,29666,10619,11166,8634,26,1
116,763174,273818,25922,21793,10374,10490,8251,6626,16,1
117,102246,50901,3351,5139,6416,3290,5939,2538,17,1
118,106834,25961,5872,4517,20453,10061,9544,2614,1,3
119,276064,170699,28263,69213,15948,33878,5453,3238,11,8
120,847538,276103,26710,25628,18222,23335,28061,5716,11,13
121,82069,26052,11700,2061,2897,3023,3486,1079,26,14
122,138062,26406,4590,2651,8222,2147,2905,639,26,4
123,72015,13503,3784,10816,2439,3474,1950,2066,35,4
124,567954,31120,35148,39978,18654,17513,4532,5714,60,11
125,175341,320887,3667,12846,21130,16725,8552,5632,40,8
126,1064870,117215,51053,13551,25970,19873,8914,3781,51,13
127,179692,60197,10933,19324,19912,16291,6491,5584,43,16
128,71264,10369,1558,2849,4865,3792,940,1526,26,20
129,127861,18467,2600,6833,2890,1932,1847,916,51,23
130,63916,20871,2696,3455,4303,7909,1785,1015,41,29
131,55493,168896,30739,27833,15283,12889,7204,6162,40,21
132,87677,72047,15366,10894,14303,13682,9101,4631,40,16
133,166134,17924,5532,6337,3818,4099,4073,1379,41,21
134,44109,51366,45698,46680,14275,20544,3527,7732,61,16
135,55079,102857,88546,17922,15883,20270,9385,6457,70,21
136,16859,8251,4782,2688,1361,1137,408,228,84,14
137,413538,156170,7678,13789,13192,10394,4330,3681,69,10
138,216963,123370,30482,13009,11002,20750,11994,2476,53,8
139,751879,72968,21636,22118,8120,17407,9275,4206,48,11
140,68306,23782,4693,4276,3300,5302,4012,1548,37,17
141,434540,114132,41109,28160,15008,12743,8022,3736,53,17
142,668347,225529,8791,27491,24967,15684,7181,4290,43,13
143,84221,43119,10254,7050,3546,4632,1520,1125,41,10
144,205800,67218,53106,15337,10518,33274,6926,3295,51,13
145,1006276,99678,84364,38239,11304,21065,14876,4044,57,16
146,61535,12305,8923,7458,3212,2949,1226,894,80,20
147,50199,7840,40534,45274,6575,16552,7552,2543,100,26
148,105696,3736,1628,7705,4441,2339,3700,1010,100,24
149,128491,18204,7154,8294,5142,5575,2808,1553,96,27
150,76300,71111,17771,11858,23030,15131,8093,3478,81,30
151,146536,23542,6935,6474,1663,2288,1192,2047,64,21
152,815771,433502,19036,87289,19060,10520,13047,8093,48,4
153,985897,98703,32379,20150,8489,13365,17803,6297,47,1
154,26574,19654,4836,3784,3415,3271,2372,1275,48,1
155,46934,193927,16542,14244,7563,11436,4763,11739,37,1
156,112845,23432,3259,804,6190,4108,3522,1334,29,16
157,52826,45328,12512,14449,2556,3151,1416,789,34,11
158,57838,9094,5930,5448,7360,4451,5395,1542,37,16
159,180659,45361,23742,22933,18285,20442,19934,10226,50,27
160,176554,120312,4976,41337,16418,40330,8450,8828,60,30
161,684396,148393,45676,7339,32642,21415,13742,8355,51,38
162,150186,45340,4977,4522,3427,2641,3408,1991,40,26
163,230883,138918,58396,22747,15011,15967,11293,6219,38,17
164,350730,51622,12215,9046,7145,6858,6133,1067,38,11
165,16706,40205,3320,3116,4514,3520,1604,641,34,8
166,2279566,258175,10827,62364,13488,22671,9949,3577,35,11
167,328291,30051,9856,2999,2427,2353,1209,617,34,8
168,71092,145227,81777,18126,14335,5484,7518,2085,40,1
169,265662,30153,9356,5110,2166,5079,1993,1643,51,1
170,180161,6167,14059,7489,3235,4157,3812,1930,70,8
171,143002,236582,8582,2453,5556,6104,2183,2971,50,1
172,40142,8581,10710,3575,7496,2029,641,1200,53,11
173,263627,88428,16779,7654,9776,28590,4253,4748,47,17
174,79225,33830,7098,18354,1166,7582,2307,1025,37,16
175,26096,52879,23714,17483,17564,20217,14535,5743,60,35
176,308096,127058,8612,19394,6583,3780,3173,677,47,24
177,536931,117867,35536,42442,46595,20394,7246,2080,54,17
178,115782,61350,3246,8285,6249,2216,924,567,43,7
179,102559,107730,27112,27740,26118,16235,6018,4472,40,1
180,72826,15045,559,3840,3332,3840,1453,823,41,17
181,202413,85530,19377,8034,18549,6680,3504,2082,35,14
182,37648,8265,6202,3019,4219,2517,1331,1697,50,26
183,134370,7925,1006,2505,1026,1048,587,824,50,24
184,1079434,66931,10101,27448,12223,28463,6576,12175,54,27
185,957955,96023,46201,28363,48931,12355,10498,7449,61,27
186,198133,44053,5639,6458,8774,3427,1448,715,50,23
187,198227,75475,11485,7617,6894,6841,5355,1441,47,20
188,599877,93752,15867,2197,8933,5042,3657,836,38,4
189,893467,84315,8612,17326,4204,6992,2036,2359,30,4
190,267338,5188,586,1823,3626,1691,1021,470,34,14
191,440078,37791,7879,9079,6267,5760,7030,1976,37,17
192,159827,56585,2256,18258,9095,20639,9872,3494,41,34
193,40469,26645,15520,19508,35098,31956,10130,3790,44,50
194,297960,31497,6977,1997,4851,6672,2824,1632,44,48
195,108129,11760,1541,11291,3374,7190,5076,1049,50,56
196,98376,108064,36062,21681,41726,32021,5326,8283,51,53
197,152194,22692,313,11813,3556,3165,2387,1256,51,40
198,195014,295526,20615,7393,53834,18933,8136,3087,41,30
199,111118,23863,8234,5521,6120,2836,3484,892,38,20
200,150700,135980,30995,65250,20084,43200,7267,5626,41,17
201,176517,37561,9429,2979,10952,3182,3724,1197,37,14
202,91148,45832,74349,55975,30006,47348,17128,12419,63,27
203,230669,128949,44475,19194,46758,26223,11883,3631,61,34
204,240307,38147,6620,10698,9317,13925,6153,3650,56,35
205,239187,17743,10096,7515,7723,9645,4953,1991,63,48
206,2875948,115214,79359,37408,16526,14004,6178,3057,61,35
207,846809,27756,14914,18976,4064,2031,1845,769,74,23
208,2057554,40775,10844,10558,6574,8677,3071,3810,75,17
209,1064041,416930,100293,37765,20316,19172,13605,6003,70,1
210,429368,150145,11483,36791,13140,13810,4275,9256,60,1
211,147196,43860,2549,6722,7466,3705,4130,1579,43,8
212,96444,57355,47728,46409,15113,31448,15071,6217,51,13
213,89410,3635,4543,894,6067,3414,3976,6115,53,34
214,323397,26460,31698,40225,15975,39478,14025,8851,66,47
215,565569,80469,117626,39280,29435,18350,12051,8352,84,47
216,183209,67356,9703,5788,13869,7850,4181,1416,69,40
217,95041,52580,7903,488,3870,4468,6128,2864,60,26
218,95322,50754,2324,5944,8784,5097,1723,1201,40,13
219,293662,66332,39026,15976,19168,8722,5724,8045,34,13
220,1852706,625179,37469,40020,36255,22602,12641,7444,27,4
221,85729,14680,997,3655,4900,1602,682,386,30,7
222,106397,18525,4364,6992,2467,6035,2032,1307,43,13
223,1715108,83896,28508,45687,11694,9847,9858,10848,47,11
224,242345,41266,25600,21533,16614,6392,6966,2744,63,17
225,47983,14469,3254,9404,10630,3123,4166,2492,70,21
226,261625,46567,13661,2437,7090,4815,2767,2929,66,13
227,43333,30691,14683,32083,17446,18073,4117,10945,64,24
228,34619,54678,14520,7342,26115,18593,4265,4668,53,35
229,1167711,113568,13379,19813,15582,22315,13850,6295,44,37
230,97885,22450,1718,7685,4479,4158,1742,1945,47,41
231,202370,164508,54135,16066,18339,40544,10288,2062,40,38
