,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
51,943874,62201,54047,85819,22165,60117,47757,6746,51,78
52,1827603,209754,38568,436757,19357,569285,22771,25532,63,88
53,1574425,234491,44992,440736,58786,478754,25316,34133,67,81
54,1485139,96130,9992,56119,75899,148690,2031,6287,67,81
55,538271,18267,126,21806,5693,30330,1153,1171,67,81
56,817071,61075,9407,78876,24414,168070,6067,6305,69,84
57,196730,45392,7812,12441,10052,31470,1647,2074,69,84
58,732680,147853,8978,89274,10615,22046,41779,5846,61,69
59,628159,36408,8376,8749,7085,8987,8601,1247,61,69
60,720550,136644,5701,61968,2976,135299,2317,1467,50,67
61,1025805,186585,9011,68269,2435,140169,4507,3062,37,64
62,513132,135819,16828,86894,7354,48761,28710,1993,43,44
63,251000,155523,4517,56963,5247,141804,3142,4400,34,67
64,123918,18383,7217,1090,11202,23562,1805,802,27,69
65,475973,83188,7659,103839,7033,36246,36125,6034,44,60
66,575647,61029,9515,55040,20895,115311,3896,2985,38,77
67,396578,34098,11882,51469,15151,126391,4792,3797,47,87
68,420679,83766,3991,83215,13893,108779,2246,2944,56,83
69,817753,186980,8789,28347,75993,46500,29111,2419,34,83
70,572738,243932,4788,63526,34196,127027,2781,4129,24,75
71,748481,220419,24725,65305,17465,105542,3503,5659,20,57
72,827369,64831,55601,8789,37522,25618,22330,1163,21,44
73,1475978,79926,17847,14981,9484,23135,14713,1592,34,44
74,491017,30299,3567,49222,17039,65812,3415,3685,47,53
75,191588,41999,11763,16414,5005,24035,904,403,47,53
76,976685,58425,53355,12382,52569,37319,51193,2357,53,51
77,574647,53821,5410,40686,20771,100715,5666,2704,47,69
78,546610,318748,52694,384113,49370,358218,12180,8824,54,80
79,117097,14909,522,8875,1941,9518,7810,1151,51,70
80,492959,153478,16410,36396,36020,16858,29301,1509,44,56
81,789088,163206,2271,75021,10152,89148,6862,3784,44,44
82,1438034,24672,10874,53266,41052,30071,28173,2907,47,41
83,1178046,27746,3859,12274,63093,16229,50619,2624,35,41
84,2374319,973372,52770,364794,45264,102585,126458,14028,38,40
85,680663,84389,10184,17652,54681,30651,22293,1692,30,37
86,125398,40529,7532,11768,5420,28273,729,675,17,40
87,44910,60092,275,19090,936,14772,2184,609,24,30
88,1512285,388849,9716,131643,74099,518071,22530,9607,14,60
89,1900691,34509,7196,35814,17945,75246,11959,2555,23,75
90,111145,47258,4117,14886,5940,29814,445,698,21,75
91,54936,6101,3152,1608,11362,16771,942,975,14,97
92,1563632,89224,30280,34648,10409,21459,50022,1641,30,77
93,1038656,60005,19960,28570,15059,17173,63360,3764,37,56
94,33715,9707,1726,481,9116,18549,2323,318,21,70
95,1010707,136410,36438,102780,16032,106474,4396,3500,41,54
96,99624,17071,984,1226,4716,22674,778,742,16,80
97,625018,89324,11049,77583,5346,14889,53179,4957,23,70
98,1363004,144791,36385,172279,33957,280400,37425,12162,47,64
99,976107,241821,3142,62898,6723,92325,1841,1777,37,63
100,1567911,107210,11970,25597,23813,37214,9361,3719,53,44
101,1950572,710945,40529,272897,77469,453028,7690,8559,40,63
102,1046140,25791,15158,9131,61674,60639,20165,3961,27,67
103,747007,87456,2521,25287,54840,39315,34627,4877,23,67
104,1265612,172747,5454,62615,2621,112000,5293,2776,24,75
105,9531,1705,700,189,1627,4703,502,95,14,91
106,1997785,40317,25819,4756,35173,91463,7032,4021,16,91
107,223541,23391,12321,19322,10471,6389,6223,1282,37,80
108,540041,17509,18539,7911,6271,15687,11237,1011,37,80
109,199345,34917,2739,21443,2565,16522,3439,1446,43,75
110,1867575,54671,9359,9916,32844,88043,7258,4015,43,69
111,374344,39444,9287,24442,27218,16225,7217,3433,53,50
112,1614988,494412,21052,161790,68530,92434,56021,6358,41,51
113,1640781,233631,80418,116572,194199,103785,203659,25285,38,48
114,787513,118181,12280,30566,33397,19687,31790,2972,48,23
115,2774351,162914,39024,111721,175042,111473,132299,9290,44,27
116,22276,5429,1265,3665,3999,20545,1301,600,40,57
117,278575,160965,27366,59534,8851,25646,28129,3461,41,48
118,166120,17353,7766,7595,31425,74052,4353,3815,35,80
119,24381,4695,1510,852,8056,18315,1317,472,17,97
120,246073,6003,2610,5192,12862,12059,2848,1074,23,87
121,3703508,124634,14508,143583,130236,142830,112642,11140,20,100
122,1159713,250995,49528,287242,61407,51133,158083,12271,41,67
123,627217,10245,9830,61543,9959,88886,1570,4209,66,57
124,333114,56501,998,61841,8028,118395,3401,4780,70,60
125,1112725,86109,20202,17860,18541,9610,36916,3221,69,40
126,561492,79949,17931,25697,13966,27741,43363,2908,60,50
127,41631,41131,2963,14280,2286,6888,2225,556,53,24
128,16944,1908,741,321,847,4358,387,102,43,29
129,53739,19086,1171,8981,2630,6021,7991,657,43,40
130,928606,15297,5728,5320,8494,5172,2003,839,43,40
131,1448126,48081,17680,13428,33120,10627,32896,1717,43,35
132,2198931,210802,72791,203303,18071,85315,72767,12529,54,40
133,29242,2627,2342,870,3396,3525,721,292,63,29
134,45315,6443,839,1072,6599,18473,1882,574,41,56
135,608107,242226,123260,139157,277400,68091,144908,7661,44,56
136,96174,5456,3164,1335,9811,14073,1149,800,24,78
137,879018,36806,41864,27404,13737,14205,29571,1368,38,61
138,379042,4614,1956,6567,7504,6891,7530,740,61,48
139,657915,102589,9140,22779,41565,110223,3104,2236,47,64
140,156991,50992,1863,56938,10134,52816,9646,2920,61,53
141,409917,82381,57249,9438,52232,27766,57583,1218,51,56
142,118175,20876,627,6045,3492,5999,3431,245,43,47
143,3341012,262858,14466,54762,236125,239300,34771,6948,40,44
144,1135701,43085,15526,19681,61179,52339,17207,2977,29,50
145,934118,23533,13741,34168,64185,13430,31442,3094,29,50
146,1791434,413742,80961,203359,87010,82193,108212,8848,40,44
147,1282639,71514,18099,62413,115451,53289,161899,6977,53,38
148,1156179,139893,56897,261718,58881,64458,180724,15445,70,21
149,939114,47948,44397,23182,22477,22610,19734,2542,77,21
150,885385,206488,9459,47391,19160,28321,6615,2658,67,20
151,1050760,24478,8585,6605,37025,30348,38810,2106,60,27
152,568828,143675,11932,25347,14487,17546,26857,2135,41,23
153,293005,14658,6985,7617,45241,18279,15388,6587,24,35
154,93101,25798,6279,2786,5935,4135,3066,1262,26,38
155,420106,9351,1820,3703,2589,6322,1820,539,35,30
156,1628114,63228,18257,25907,56297,8007,11949,3798,38,27
157,1338963,95363,24504,13402,33435,19873,15032,1913,41,13
158,732543,67172,11843,52587,14962,14420,19741,1113,53,11
159,706612,168351,33768,19155,12242,16341,7295,2274,51,1
160,934420,13527,1083,8076,2905,3886,2036,1056,54,1
161,516012,90793,11389,24545,25132,24289,25215,4081,54,4
162,1791977,153552,20683,16236,29037,38814,10923,1333,40,11
163,392262,13025,4886,10444,12594,8244,3829,2063,40,11
164,51783,31595,218,13384,2108,7596,7720,494,43,20
165,802556,106009,150791,136321,57699,74976,110996,11907,53,21
166,289981,64081,16541,35089,29516,20362,10755,1876,60,21
167,776746,55681,20320,26940,36912,12580,38185,3275,70,14
168,31229,7158,2282,2388,2078,1747,1663,170,70,14
169,1030454,96290,1737,47659,20617,45525,18644,1621,70,23
170,716510,46798,10076,17564,50379,31965,9012,1567,51,29
171,420068,7575,2214,6963,12462,3600,4107,707,51,29
172,1427661,62019,4446,8673,19609,4545,41355,3107,38,20
173,356322,65066,22997,30638,11168,26036,15543,1105,41,24
174,1125747,40704,6092,8346,31778,6527,35286,2518,35,13
175,111780,9099,1367,2384,2148,14765,1341,273,29,24
176,3412551,145778,46257,42829,69590,178125,61834,5037,35,51
177,99319,45902,4907,16958,9505,5601,10407,1247,29,40
178,712572,20767,3253,4072,9673,4034,8444,558,29,40
