,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
3,248340,22594,12709,20689,15252,7501,5914,2503,50,54
4,169779,7480,2676,1651,2953,11744,1167,248,43,78
5,1689549,166200,48851,128973,32376,95677,36536,7659,50,83
6,583495,42955,26365,15976,23360,26655,23741,4599,53,91
7,656698,69311,28524,23884,16460,20076,34396,1258,47,70
8,560517,78705,63061,28529,21410,16260,14514,1031,64,38
9,110949,1389,377,1838,1069,1794,1265,236,64,38
10,118585,101379,7949,7156,11232,5856,3066,1299,43,14
11,293660,763135,58804,202352,92776,84005,102000,13833,37,1
12,371051,2894,1264,28725,4965,29117,1276,2055,37,1
13,191325,11855,2797,2219,3151,5503,3921,1182,37,1
14,875671,265196,3281,155143,25499,157856,11695,6596,34,10
15,881687,228015,6334,158455,16536,155920,10855,5519,24,34
16,850538,9602,4163,12505,17288,32380,7214,4586,24,34
17,2482400,78695,10081,38195,59041,171938,17129,4573,24,34
18,267871,64065,6695,30559,6422,46930,2415,2300,24,34
19,344139,24429,3903,24011,4442,51844,1975,1510,24,34
20,1677377,65795,12313,66011,21887,192017,9680,3696,35,75
21,1443958,47744,3702,66593,22952,171271,11081,4053,37,100
22,1019567,28940,2837,68095,11126,179773,9285,2992,35,100
23,1045880,73870,8384,68192,17713,149171,5830,1841,30,100
24,593345,10014,12042,9396,8280,38093,2363,536,35,100
25,755426,49886,38942,52543,20851,187826,7893,5605,38,100
26,82314,15168,2361,2028,11428,31829,968,866,21,100
27,67709,12640,10441,31865,3022,18490,8359,1803,38,100
28,1652264,61963,22686,16670,24849,156682,7959,3342,27,100
29,778685,110390,27165,87244,20958,64357,18277,6299,37,94
30,1493215,5903,1730,13004,12174,4409,13626,4330,37,94
31,317658,322689,6153,116115,26464,112933,8348,8177,51,74
32,803719,163738,14908,172183,6118,44869,30440,5607,47,60
33,595883,201765,1193,98259,17684,113735,6029,6819,54,41
34,1040136,58882,5376,88464,20479,116708,3235,3136,53,53
35,48773,1101,247,1271,1214,7291,513,119,53,53
36,169387,283839,6245,87501,18249,141436,5058,3746,50,60
37,1037101,191418,4483,111853,24312,109921,5918,6799,41,70
38,1650777,158397,10305,91965,20836,123873,4616,2999,41,77
39,600273,186699,11542,72528,23390,174862,3076,2643,30,74
40,81130,39382,5738,25763,2748,36133,1810,760,41,75
41,159130,23714,999,30246,1564,9321,10356,1085,51,66
42,720122,2589,3587,418,4291,34953,1187,650,51,66
43,1214356,259089,16184,46219,3875,162959,4019,2415,43,66
44,993481,88890,35755,69513,10388,56502,69485,2760,56,57
45,1720447,83458,6675,19031,21494,222064,2607,3790,35,74
46,1671775,258792,1862,96519,10014,113284,5927,2478,20,78
47,1769785,324452,6702,114636,10652,141131,3220,2538,24,74
48,222733,42208,278,19196,5031,28397,956,1154,24,74
49,1022060,31157,13634,75604,22670,151339,4903,4229,20,88
50,596897,129288,877,95598,25211,177912,3393,4330,35,78
