,Time,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
150,2020.3.8.16.5.16,1031026,117530,11922,45792,68156,9182,5908,6366,63,53
151,2020.3.8.16.5.17,243405,55725,14743,7361,2476,3307,4580,1361,67,53
152,2020.3.8.16.5.18,421690,43717,40717,4538,13653,6801,1046,1240,66,51
153,2020.3.8.16.5.19,60212,12826,1747,1636,2630,1678,310,265,67,60
154,2020.3.8.16.5.20,84774,21297,16050,10156,10365,3113,1214,894,77,63
155,2020.3.8.16.5.21,157369,23083,1629,445,8969,1337,546,220,60,66
156,2020.3.8.16.5.22,450467,78189,60003,25510,13364,9095,5112,5661,61,61
157,2020.3.8.16.5.23,262992,20866,19815,7278,5488,1249,4125,2190,78,43
158,2020.3.8.16.5.24,742811,103255,10146,26332,27571,9054,9256,2860,67,43
159,2020.3.8.16.5.25,1562475,120224,25311,11563,25244,12537,4636,2740,81,48
160,2020.3.8.16.5.26,1081915,84581,33307,42704,45996,24513,4760,3074,77,60
161,2020.3.8.16.5.27,375068,13406,3051,3199,2884,962,210,139,77,60
162,2020.3.8.16.5.28,249209,23240,22305,13569,14384,6527,2633,551,77,60
163,2020.3.8.16.5.29,1703624,15301,11721,29331,21698,18218,9774,3095,74,90
164,2020.3.8.16.5.30,65875,49032,1221,821,1843,2134,1808,854,56,84
165,2020.3.8.16.5.31,10735,19867,3650,5455,4589,1793,2329,2359,60,80
166,2020.3.8.16.5.32,2132333,239355,35443,57742,101695,36902,8962,4826,53,77
167,2020.3.8.16.5.33,104070,30615,6826,22321,8707,9115,1085,267,51,66
168,2020.3.8.16.5.34,732736,77425,36667,9921,7286,6773,3737,1629,75,67
169,2020.3.8.16.5.35,612572,20391,13203,13683,8215,6700,2076,3932,83,78
170,2020.3.8.16.5.36,1206976,313652,48610,57282,26345,31129,12777,7421,83,75
171,2020.3.8.16.5.37,92113,53408,10596,4048,7028,4397,1089,235,74,64
172,2020.3.8.16.5.38,934338,23918,12447,8283,15666,4743,780,969,74,64
173,2020.3.8.16.5.39,43496,31689,6468,4546,2768,1422,510,226,67,60
174,2020.3.8.16.5.40,1684380,44328,13687,8880,6914,3228,1244,433,67,60
175,2020.3.8.16.5.41,1082006,132264,4469,11988,43819,10120,7991,1874,48,48
176,2020.3.8.16.5.42,1773819,99183,6246,46108,33070,13593,8129,4086,51,50
177,2020.3.8.16.5.43,940735,33313,25959,4888,2535,5242,3396,941,63,53
