,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
97,651136,521701,11645,138491,13590,123629,26197,4021,30,44
98,481831,55592,4061,46294,6999,41869,9120,7553,30,44
99,1071404,713076,16901,178037,26762,266205,11705,10566,30,44
100,1043397,181889,10158,275452,11329,255635,11450,17628,30,44
101,516790,48481,4749,51801,6171,24687,10055,4927,30,44
102,865819,110609,4585,252363,42620,308101,8300,11699,30,44
103,671398,124254,17402,265832,24492,215925,14182,14631,30,44
104,1911318,331563,39520,106946,61772,231177,12411,13294,30,44
105,1111319,182841,569,164511,62160,249649,10901,10012,30,44
106,217730,38248,6715,6123,11586,9692,10306,2659,30,44
107,626077,466509,22213,239448,22210,248119,6772,9513,30,44
108,672347,126483,881,52859,7544,41519,2658,2388,30,44
109,101067,46450,5032,47836,3773,88416,1689,2944,30,44
110,79427,36288,7945,53720,3643,83895,1822,2623,30,44
111,14861,18322,186,15123,932,20751,814,747,30,44
112,180154,21971,1596,43559,6342,77266,1831,2328,30,44
113,124704,26541,8182,56351,6915,78262,1192,3015,30,44
114,51212,93923,5054,52655,3151,73566,1603,2020,30,44
115,835025,196262,6827,153204,6747,272979,7030,3703,30,44
116,1699966,408891,4624,150796,11905,272670,9780,6296,30,44
117,114501,79667,5859,45113,4971,59804,1436,1405,30,44
118,26708,175033,531,45752,4111,47082,1358,2397,30,44
119,243539,111448,5464,34355,7508,43047,2806,1683,30,44
120,398573,33181,13875,51592,7206,24291,7754,6497,30,44
121,156348,8414,1891,8397,5550,5672,3830,2273,30,44
122,1188972,199531,21165,126671,39466,232723,10466,16220,30,44
123,90170,112939,5698,53637,1582,48761,2753,1796,30,44
124,594734,108071,11369,24985,4909,45137,4058,2709,30,44
125,540151,185326,3471,42607,3974,41778,2861,1714,30,44
126,1661851,84592,16780,131383,23022,220223,6628,9298,30,44
127,514926,19428,3083,61668,3530,43700,1607,3214,30,44
128,1741763,288046,20392,179591,38897,205527,4012,11614,30,44
129,227668,17882,893,38044,8441,68811,2246,2863,30,44
130,1752275,314631,10542,126786,11911,273310,8450,4248,30,44
131,206201,161551,3743,38342,6151,73172,4603,1842,30,44
132,79901,31285,775,9751,933,11263,560,365,30,44
133,237619,120625,8528,42770,10232,55013,4011,2223,30,44
134,242633,22748,3115,79094,4386,44235,4561,3478,30,44
135,117173,29100,1247,17941,2342,8575,8794,3596,30,44
136,707503,261033,11260,276499,24561,198884,5747,12431,30,44
137,1101825,44417,16048,229612,46992,254112,14055,10113,30,44
138,521815,129220,44150,109679,27470,24125,17254,904,30,44
139,1022524,162508,28710,114839,46052,227687,8493,9445,30,44
140,507377,191528,30425,159916,12792,302538,5565,9620,30,44
141,77638,16901,2091,13246,1226,9845,8789,2271,30,44
142,125694,15594,2977,8666,5016,5032,3923,4189,30,44
143,38539,138846,7585,39890,2170,61018,2643,2190,23,53
144,1218922,234661,400,140359,26970,257186,12497,5457,23,53
145,141324,142588,2906,41949,3076,57921,3567,1693,23,53
146,1136045,642003,5449,145008,41365,207392,6967,8799,23,53
147,552049,70409,14501,58756,8387,28022,10143,2665,23,53
148,422262,73528,8139,80311,6521,34180,8997,5680,23,53
149,903697,57918,13964,287431,23011,252791,14202,17510,23,53
150,1097293,45746,5084,53844,21706,51552,23785,7528,23,53
151,783585,13944,16778,53262,11374,23719,7697,5843,23,53
152,91079,131894,5204,47015,10359,66732,3353,2091,23,53
153,171911,36879,7288,42943,3151,86567,2299,2186,23,53
154,43767,21292,1868,16108,686,8307,11425,1229,23,53
155,113072,31701,2865,38176,4313,71326,1344,1792,23,53
156,19117,13927,187,11143,799,13243,463,390,23,53
157,129278,53931,5169,59196,3199,76877,1781,2841,23,53
158,149522,37571,6130,62921,4234,80751,1683,3416,23,53
159,148179,30103,7266,60377,3572,87266,2068,2775,23,53
160,126440,29329,4252,61861,5151,80208,1692,3548,23,53
161,131148,32842,1211,44537,12326,96132,1541,2840,23,53
162,40964,190462,4897,59361,4611,76390,3100,1351,23,53
163,122140,27910,8785,63395,5702,89767,1578,3121,23,53
164,121406,36655,10886,42142,5736,90987,1193,2807,23,53
165,1140286,116354,1372,42498,3624,47682,2747,1431,23,53
166,1303038,46988,17789,226187,51708,255455,6639,13213,23,53
167,1421210,517143,29983,175413,54288,361683,15787,5334,23,53
168,162030,145746,3089,59413,1796,77807,4365,1822,23,53
169,697912,126254,1599,44244,4603,55286,2426,2055,23,53
170,2059565,290841,12032,114835,30660,272975,7401,3766,23,53
171,39955,139812,4362,62950,541,78866,2605,1968,23,53
172,26124,52350,4749,53163,4447,96516,4234,3517,23,53
173,1208264,193687,15180,235922,15471,261702,11222,6392,23,53
174,573102,104417,16251,44085,7073,77719,7032,3125,23,53
175,2071989,395885,3782,240673,21855,211739,15417,15267,23,53
176,2032871,188856,1244,92084,22330,173731,7452,7655,23,53
177,852136,31407,4032,13113,18722,34424,3245,3416,23,53
178,23060,47743,1848,15912,1427,25259,1207,931,23,53
179,35725,34350,944,10917,2847,18685,2423,1162,23,53
180,34087,22759,3662,14030,4210,21283,2267,962,23,53
181,1131912,131041,17457,74936,9292,36367,58158,22604,23,53
182,2025168,116732,14931,242198,83347,326282,12814,20419,23,53
183,186650,247268,2985,77199,2290,81695,4048,2893,23,53
184,576027,100725,5704,80311,9737,36311,8916,8992,23,53
185,1545304,105643,8804,368218,23149,309687,10173,16118,23,53
186,953386,13752,7041,22675,19383,35716,19364,8350,23,53
187,97296,249968,4128,60033,9217,76538,3419,2319,23,53
188,46302,144222,291,59311,10694,89037,3944,2890,23,53
189,585547,38691,2708,47554,9987,34251,7415,4528,23,53
190,102028,44090,1551,28124,10856,20353,22192,6332,23,53
191,342004,179309,7664,94557,12849,56582,6815,4549,23,53
192,134381,144796,6235,67891,3723,69350,4295,2485,23,53
193,404346,105953,2395,42715,19230,57276,4425,4114,23,53
194,195348,173823,7921,49191,5694,76567,2564,4694,23,53
195,1448692,84675,15898,136931,18212,370266,8056,4346,23,53
196,14804,52365,1876,15230,1445,20524,519,727,23,53
197,11409,40192,376,14926,1520,25589,1313,800,23,53
198,306594,100894,6425,70536,15308,88720,3703,3828,23,53
199,570160,86831,7301,39475,16852,35176,27792,3586,23,53
200,1515842,823442,24074,295370,48571,320166,18922,16356,23,53
201,196140,170077,5958,82753,788,90050,3560,2110,23,53
202,949995,139870,715,62661,8202,55835,2933,6898,23,53
203,701457,151602,7264,55468,5204,63983,3465,3423,23,53
204,1489652,220087,12653,142797,24747,391118,5563,6311,23,53
205,67880,263976,8268,54930,2615,79455,2180,2405,23,53
206,22197,166730,903,65002,4080,94786,4175,3150,23,53
207,38456,150187,1972,60220,6261,121884,5229,2432,23,53
208,146396,141420,6655,62578,8383,80565,4549,2650,23,53
209,1780205,522768,9434,301982,74117,384504,13964,15538,23,53
210,1391149,258851,3369,308191,11745,263901,13607,12140,23,53
211,431079,12613,2927,73864,10117,78053,2490,3316,23,53
212,555968,48179,13828,106735,25487,27470,41316,10875,23,53
213,127489,8459,3268,9914,3211,6756,9703,3846,23,53
214,627618,89178,3331,62517,20060,27315,26084,9299,23,53
215,155766,6350,609,11367,2970,5919,5577,6245,23,53
216,204332,120812,2642,83221,4210,68447,1736,2976,23,53
217,2646362,209158,5023,268403,42481,320023,14954,12522,23,53
218,440924,160190,408,81931,10669,80466,4751,4861,23,53
219,141775,33132,9595,70626,8509,108914,2293,3600,23,53
220,181133,47062,6743,69143,9990,119200,1662,2924,23,53
221,32641,177318,15118,54955,2156,72234,3603,2206,23,53
222,2072514,178017,13617,145019,57645,396304,9350,11080,23,53
223,66084,266451,4260,65258,5605,73401,2914,2971,23,53
224,1201349,283934,10401,317684,6248,278981,11002,16551,23,53
225,562582,20042,18123,54673,12355,24904,27766,21047,23,53
226,1050023,164082,6155,29748,16802,56125,6427,6808,23,53
227,15920,29456,1488,16866,1333,22098,543,773,23,53
228,48346,15363,1846,17023,3693,16069,11635,5060,23,53
229,70590,98162,6531,57738,1937,64086,1910,1725,23,53
230,256200,134270,12335,61617,12028,42450,2722,1928,23,53
231,185192,45997,7837,75286,5037,63885,2755,3762,23,53
232,1329629,175292,10745,178284,50318,292706,11355,12689,23,53
233,227844,139145,17299,57826,7175,50289,3470,2476,23,53
234,141566,109773,19061,73828,19578,32999,11323,12416,23,53
235,687787,143520,24352,320128,43201,279571,5557,11819,23,53
236,567710,73406,1285,43166,1364,60367,1766,1800,23,53
237,1455241,269412,4925,202776,39120,265644,10489,10326,23,53
238,1553450,375073,18984,168352,32904,250990,14980,14336,23,53
239,1439581,411814,5254,219236,42968,264197,20166,8329,23,53
240,1770326,497966,5087,184681,23009,210333,8535,10452,23,53
241,1169611,951195,8518,192998,35835,223095,11278,7362,23,53
242,1141724,711165,36497,231678,39605,180282,16044,10861,23,53
243,816437,112365,18907,352430,27422,239253,11395,17914,23,53
244,470146,53733,8551,42121,9690,49517,3065,4294,23,53
245,668809,19841,5462,44674,7137,21606,6810,6676,23,53
246,687384,42562,5011,63612,12690,19492,5095,10065,23,53
