607183,107304,8375,114801,23957,199771,4310,4077,40,44
1589475,293283,16231,122671,7450,117927,11899,7850,40,41
1032505,176787,3190,62953,9230,189853,2323,2147,34,47
923185,153557,5639,50959,2376,212138,2128,1402,21,53
615949,19035,5688,4967,7949,9778,4806,747,16,47
646550,144367,17477,152462,23955,77318,10055,3597,26,47
969446,197269,7018,47752,26757,30759,16251,4779,26,30
81633,160623,7793,18598,4858,5984,4003,526,26,7
1776364,46416,20545,16190,9837,4123,2681,1480,26,7
1961191,482674,45840,60268,81555,38710,14255,5899,20,1
41038,18719,12188,17920,3797,11284,14869,1405,20,1
17988,21297,637,17455,11942,10640,12363,6091,20,1
230755,295385,33001,15226,46334,14892,4039,6613,1,1
215667,128345,29540,16081,10126,6729,3805,822,3,1
88186,28918,4185,6373,2878,5457,1253,705,11,1
102565,6494,2136,1590,567,687,152,64,24,1
15077,15231,5013,4860,3223,2418,1454,518,41,1
687032,105982,9604,14501,10128,4645,6846,1960,35,1
45451,85853,74216,33564,16694,19975,18746,3240,51,1
29959,44724,4983,8148,7836,13613,2615,5774,38,1
820684,890086,45765,57834,57326,31272,14181,4814,17,1
102173,19223,8307,6276,3865,3007,2468,1252,34,1
26668,27534,9496,274,4325,4312,2777,1010,17,1
35872,57519,17928,11672,8711,8199,9995,4195,27,1
61509,80973,17893,17654,29918,12285,2288,5443,41,1
55637,53459,14805,7775,5265,4628,1731,1912,34,1
645848,106353,17113,18696,12254,20985,14032,4732,34,1
90316,20346,12113,8801,6480,5075,1140,645,40,1
55115,12664,4070,4677,1575,1395,1010,1019,48,1
82475,21499,327,11099,5684,4847,1505,1348,48,3
93767,71712,150118,38111,16828,14114,8589,2181,75,1
34725,17440,2707,15343,4342,3429,3940,1126,77,1
155548,26808,16558,1397,3782,3393,874,990,75,1
265874,129118,12520,20940,7611,7795,5082,2978,69,1
1900236,398280,54079,22974,18741,12840,11501,4253,40,1
1247075,203123,44006,67681,48195,79801,20777,13856,27,1
122434,56345,34591,23097,36897,17226,8693,8547,29,1
329590,32222,13069,21223,54807,15358,12987,3834,35,10
1438020,177102,82390,14221,9463,15532,9090,9022,47,14
924074,18155,1556,3844,2373,6144,2281,1463,40,16
744449,184918,109376,45458,21738,46893,12127,10634,41,14
252940,90409,22138,27336,14808,12189,5063,5197,44,8
56900,47359,2223,3744,7459,2080,919,1631,24,4
85698,40845,12863,33767,10207,3750,2741,1938,44,1
891765,139579,65847,33488,29296,26864,24509,7235,43,1
1686748,133661,84215,21511,34868,15460,6081,8726,47,1
273895,48602,37729,25153,50340,11956,9882,3755,69,1
38769,88173,4718,6818,3700,5756,3527,1336,44,1
104935,12488,10342,9831,5510,2877,1815,1902,51,1
1259156,14601,44949,22389,19784,31940,19326,15982,60,11
338086,131117,50311,8214,6968,22449,5564,5039,53,11
29281,22412,4609,1636,12300,9436,7120,6095,54,24
151797,42188,2080,19279,9766,17373,15779,7413,40,34
614869,89229,12277,36023,14889,8139,4131,1304,27,20
374708,27827,16429,10764,5158,1063,3497,1202,38,8
242370,123468,37889,13911,18025,17025,10072,4647,48,1
27983,63379,62521,18696,23809,16279,6022,9718,61,1
396220,119989,65040,8600,15337,17537,7168,7926,61,1
201430,120968,7172,15253,11013,8808,9301,6974,40,10
57076,32282,1563,4986,547,2184,2004,1297,30,4
12232,53871,12297,29669,5811,11576,6367,6931,27,4
1633775,97432,35649,32591,23941,15951,14228,5452,29,4
1461909,97378,21225,14981,29011,7968,6715,4029,37,4
573458,155729,28252,39589,31738,19507,9049,5402,47,8
139782,41544,8888,23641,3417,14181,15666,6893,44,10
42987,25400,9232,1960,9209,2210,715,696,38,7
188377,91125,17276,66178,13666,13503,6942,6567,51,10
218985,43788,26773,13282,5161,11544,2424,1220,60,13
1532288,216512,160697,326408,313853,264123,72894,17162,61,20
25406,41385,12157,13685,18512,15536,10185,4152,61,29
576310,149759,42150,19477,19547,13180,5340,8572,53,26
734063,50047,7536,21874,22032,19745,7663,4515,43,30
587117,120534,9821,41748,11893,12453,15590,2051,37,17
86329,57692,3388,4598,3388,3362,5969,1379,24,7
399988,84594,35733,33783,11394,11087,3498,2609,30,8
279874,116733,19899,12236,29666,10619,11166,8634,26,1
763174,273818,25922,21793,10374,10490,8251,6626,16,1
102246,50901,3351,5139,6416,3290,5939,2538,17,1
106834,25961,5872,4517,20453,10061,9544,2614,1,3
276064,170699,28263,69213,15948,33878,5453,3238,11,8
847538,276103,26710,25628,18222,23335,28061,5716,11,13
82069,26052,11700,2061,2897,3023,3486,1079,26,14
138062,26406,4590,2651,8222,2147,2905,639,26,4
72015,13503,3784,10816,2439,3474,1950,2066,35,4
567954,31120,35148,39978,18654,17513,4532,5714,60,11
175341,320887,3667,12846,21130,16725,8552,5632,40,8
1064870,117215,51053,13551,25970,19873,8914,3781,51,13
179692,60197,10933,19324,19912,16291,6491,5584,43,16
71264,10369,1558,2849,4865,3792,940,1526,26,20
127861,18467,2600,6833,2890,1932,1847,916,51,23
63916,20871,2696,3455,4303,7909,1785,1015,41,29
55493,168896,30739,27833,15283,12889,7204,6162,40,21
87677,72047,15366,10894,14303,13682,9101,4631,40,16
166134,17924,5532,6337,3818,4099,4073,1379,41,21
44109,51366,45698,46680,14275,20544,3527,7732,61,16
55079,102857,88546,17922,15883,20270,9385,6457,70,21
16859,8251,4782,2688,1361,1137,408,228,84,14
413538,156170,7678,13789,13192,10394,4330,3681,69,10
216963,123370,30482,13009,11002,20750,11994,2476,53,8
751879,72968,21636,22118,8120,17407,9275,4206,48,11
68306,23782,4693,4276,3300,5302,4012,1548,37,17
434540,114132,41109,28160,15008,12743,8022,3736,53,17
668347,225529,8791,27491,24967,15684,7181,4290,43,13
84221,43119,10254,7050,3546,4632,1520,1125,41,10
205800,67218,53106,15337,10518,33274,6926,3295,51,13
1006276,99678,84364,38239,11304,21065,14876,4044,57,16
61535,12305,8923,7458,3212,2949,1226,894,80,20
50199,7840,40534,45274,6575,16552,7552,2543,100,26
105696,3736,1628,7705,4441,2339,3700,1010,100,24
128491,18204,7154,8294,5142,5575,2808,1553,96,27
76300,71111,17771,11858,23030,15131,8093,3478,81,30
146536,23542,6935,6474,1663,2288,1192,2047,64,21
815771,433502,19036,87289,19060,10520,13047,8093,48,4
985897,98703,32379,20150,8489,13365,17803,6297,47,1
26574,19654,4836,3784,3415,3271,2372,1275,48,1
46934,193927,16542,14244,7563,11436,4763,11739,37,1
112845,23432,3259,804,6190,4108,3522,1334,29,16
52826,45328,12512,14449,2556,3151,1416,789,34,11
57838,9094,5930,5448,7360,4451,5395,1542,37,16
180659,45361,23742,22933,18285,20442,19934,10226,50,27
176554,120312,4976,41337,16418,40330,8450,8828,60,30
684396,148393,45676,7339,32642,21415,13742,8355,51,38
150186,45340,4977,4522,3427,2641,3408,1991,40,26
230883,138918,58396,22747,15011,15967,11293,6219,38,17
350730,51622,12215,9046,7145,6858,6133,1067,38,11
16706,40205,3320,3116,4514,3520,1604,641,34,8
2279566,258175,10827,62364,13488,22671,9949,3577,35,11
328291,30051,9856,2999,2427,2353,1209,617,34,8
71092,145227,81777,18126,14335,5484,7518,2085,40,1
265662,30153,9356,5110,2166,5079,1993,1643,51,1
180161,6167,14059,7489,3235,4157,3812,1930,70,8
143002,236582,8582,2453,5556,6104,2183,2971,50,1
40142,8581,10710,3575,7496,2029,641,1200,53,11
263627,88428,16779,7654,9776,28590,4253,4748,47,17
79225,33830,7098,18354,1166,7582,2307,1025,37,16
26096,52879,23714,17483,17564,20217,14535,5743,60,35
308096,127058,8612,19394,6583,3780,3173,677,47,24
536931,117867,35536,42442,46595,20394,7246,2080,54,17
115782,61350,3246,8285,6249,2216,924,567,43,7
102559,107730,27112,27740,26118,16235,6018,4472,40,1
72826,15045,559,3840,3332,3840,1453,823,41,17
202413,85530,19377,8034,18549,6680,3504,2082,35,14
37648,8265,6202,3019,4219,2517,1331,1697,50,26
134370,7925,1006,2505,1026,1048,587,824,50,24
1079434,66931,10101,27448,12223,28463,6576,12175,54,27
957955,96023,46201,28363,48931,12355,10498,7449,61,27
198133,44053,5639,6458,8774,3427,1448,715,50,23
198227,75475,11485,7617,6894,6841,5355,1441,47,20
599877,93752,15867,2197,8933,5042,3657,836,38,4
893467,84315,8612,17326,4204,6992,2036,2359,30,4
267338,5188,586,1823,3626,1691,1021,470,34,14
440078,37791,7879,9079,6267,5760,7030,1976,37,17
159827,56585,2256,18258,9095,20639,9872,3494,41,34
40469,26645,15520,19508,35098,31956,10130,3790,44,50
297960,31497,6977,1997,4851,6672,2824,1632,44,48
108129,11760,1541,11291,3374,7190,5076,1049,50,56
98376,108064,36062,21681,41726,32021,5326,8283,51,53
152194,22692,313,11813,3556,3165,2387,1256,51,40
195014,295526,20615,7393,53834,18933,8136,3087,41,30
111118,23863,8234,5521,6120,2836,3484,892,38,20
150700,135980,30995,65250,20084,43200,7267,5626,41,17
176517,37561,9429,2979,10952,3182,3724,1197,37,14
91148,45832,74349,55975,30006,47348,17128,12419,63,27
230669,128949,44475,19194,46758,26223,11883,3631,61,34
240307,38147,6620,10698,9317,13925,6153,3650,56,35
239187,17743,10096,7515,7723,9645,4953,1991,63,48
2875948,115214,79359,37408,16526,14004,6178,3057,61,35
846809,27756,14914,18976,4064,2031,1845,769,74,23
2057554,40775,10844,10558,6574,8677,3071,3810,75,17
1064041,416930,100293,37765,20316,19172,13605,6003,70,1
429368,150145,11483,36791,13140,13810,4275,9256,60,1
147196,43860,2549,6722,7466,3705,4130,1579,43,8
96444,57355,47728,46409,15113,31448,15071,6217,51,13
89410,3635,4543,894,6067,3414,3976,6115,53,34
323397,26460,31698,40225,15975,39478,14025,8851,66,47
565569,80469,117626,39280,29435,18350,12051,8352,84,47
183209,67356,9703,5788,13869,7850,4181,1416,69,40
95041,52580,7903,488,3870,4468,6128,2864,60,26
95322,50754,2324,5944,8784,5097,1723,1201,40,13
293662,66332,39026,15976,19168,8722,5724,8045,34,13
1852706,625179,37469,40020,36255,22602,12641,7444,27,4
85729,14680,997,3655,4900,1602,682,386,30,7
106397,18525,4364,6992,2467,6035,2032,1307,43,13
1715108,83896,28508,45687,11694,9847,9858,10848,47,11
242345,41266,25600,21533,16614,6392,6966,2744,63,17
47983,14469,3254,9404,10630,3123,4166,2492,70,21
261625,46567,13661,2437,7090,4815,2767,2929,66,13
43333,30691,14683,32083,17446,18073,4117,10945,64,24
34619,54678,14520,7342,26115,18593,4265,4668,53,35
1167711,113568,13379,19813,15582,22315,13850,6295,44,37
97885,22450,1718,7685,4479,4158,1742,1945,47,41
202370,164508,54135,16066,18339,40544,10288,2062,40,38
22677,65285,9543,28298,21318,11366,3273,5024,47,30
65478,41905,12373,16278,5740,18084,5138,4350,51,37
90852,19865,2713,6403,7734,3864,3646,2040,51,37
128030,21891,5804,4317,3733,3179,2592,1249,51,30
