351671,140724,21203,55254,11081,61490,30174,3422,41,37
155672,36312,22356,50954,12044,27715,42938,10503,41,37
368135,269186,660,64161,23124,66893,2623,3336,41,37
995499,166279,31959,56911,6629,56671,18987,5328,41,37
330944,88440,15967,170572,31234,29704,40604,7563,41,37
1346737,758655,29904,392885,19181,318428,12348,21393,41,37
1097713,43169,10894,76662,24629,36082,32866,24700,41,37
11373,73501,1088,18869,1226,7700,5335,2418,41,37
309117,35282,14515,35681,25269,69745,11755,9798,41,37
73279,26732,5493,24312,3885,21009,3154,2522,41,37
33529,8368,7734,9369,7314,6668,4897,1799,41,37
27368,8019,6314,10039,14987,8539,20281,10567,41,37
39679,34760,2113,10368,4662,14463,1458,2039,41,37
84763,23748,5907,7525,6232,9058,3048,4163,41,37
1188029,164200,3508,108423,29683,41435,15212,14708,41,37
295310,173251,11052,88615,10864,82558,5474,4702,41,37
374919,172720,3169,46091,8219,85484,3826,4371,41,37
46546,57486,3889,31621,3377,21968,3809,1189,41,37
69611,6902,7060,9765,7751,14254,21059,4745,41,37
456643,43910,34860,124579,17399,34369,45098,10820,41,37
905929,97857,20446,53394,31826,71231,44588,15849,41,37
57885,34588,6070,9431,6978,11348,6741,4607,41,37
9202,25455,1399,21722,1748,24764,3778,2242,41,37
7765,46464,1322,22529,2485,33023,1902,1000,41,37
656388,212992,44088,33357,19953,103367,8258,7062,41,37
178186,30226,13082,56948,20104,134370,7343,12481,41,37
126309,223640,19240,74127,6011,89220,2578,3339,41,37
155859,179585,10074,69238,2901,103597,4139,2861,41,37
224476,171483,5360,66230,9396,99532,2920,3296,41,37
375835,158266,5565,32342,19423,51692,6315,9220,41,37
646105,268907,9637,44534,15623,68567,5007,5653,41,37
395277,142129,15924,77501,7901,80978,5186,3798,41,37
93951,38064,3840,31078,9567,9907,8439,5362,41,37
1076258,250100,11296,325234,17350,369057,30015,20292,41,37
1271393,116197,56718,235556,15660,129867,137202,21335,41,37
1054033,62957,17868,107447,6904,37809,52407,9991,41,37
1136788,66163,17171,121811,8640,77546,54586,7904,41,37
82948,40728,6174,10198,5435,13711,2025,3111,41,37
13810,24732,2632,10299,5622,11832,3184,4313,41,37
522649,207770,63984,24061,6851,35641,31906,28273,41,37
39194,15915,2775,20713,3554,36203,534,1394,41,37
50014,17798,6214,12698,2839,28770,1375,1635,41,37
98329,22854,5944,16480,5371,8041,3957,2893,41,37
213818,28177,3081,58183,15649,111245,2716,4741,41,37
266662,39452,3698,61695,17108,109755,1637,3977,41,37
52266,13263,4208,23505,5919,17029,7999,3154,41,37
68953,4030,1131,18728,2097,20016,1717,1190,41,37
171102,41312,6286,70178,4926,96950,2269,4344,41,37
154429,53697,10943,72882,6060,104940,1709,4259,41,37
137747,35963,6190,80950,9395,103757,1949,5037,41,37
20410,52454,2465,17416,1743,23827,644,1026,41,37
140554,36948,8584,79675,4010,120932,1464,4442,41,37
12707,39139,262,23401,3865,22501,2620,2769,41,37
4668,19663,1591,17319,1477,26886,1161,823,41,37
370739,146083,3508,70779,11901,97636,3952,4139,41,37
1934803,40566,29580,263926,50093,338722,7491,15108,41,37
965845,278953,10288,270272,42124,388515,8408,14181,41,37
