0,718090,202961,52340,43234,41659,58603,41859,9907
1,8,5,3,0,2,0,0,0
2,1,4,3,1,1,1,1,1
3,9,1,0,3,0,1,0,0
4,1551110,357413,59711,58648,30843,219027,131600,7072
5,1347827,80187,34339,33215,61774,118831,59336,33926
6,1327995,193911,109309,139306,107440,58273,58056,62946
7,1438070,84458,110464,160678,111796,53315,36642,42404
8,529809,22611,19601,10963,8969,17367,10245,33870
9,727116,683236,814823,305545,330128,158627,36477,19545
10,1194240,311340,25359,193590,157761,50516,137472,97634
11,172310,114334,3477,12845,12189,6865,5798,1303
12,706607,408135,54391,48999,27369,22804,15315,2753
0,3,1,0,1,0,1,1,0
1,3,2,0,0,0,1,0,1
2,1787580,490173,627620,267755,238551,279923,105636,32758
3,133004,12883,5944,5817,1704,2072,2170,303
4,487401,456916,237059,170745,138239,159511,68015,16900
5,746978,377066,63498,29929,27774,193349,181433,66551
6,1402758,127607,77346,90277,89585,113322,152323,55488
7,2177880,62469,78847,14395,62804,51558,19478,15688
8,577719,40303,10198,45349,159645,224423,156246,28439
9,201667,341157,41406,107322,48901,69038,103899,98947
10,1237510,22493,19344,54817,11002,16500,5770,3315
11,1591518,71351,21047,14838,45902,28416,5775,2682
12,1375003,27328,16417,43585,45972,23478,8054,4062
13,734269,23698,19490,11913,2547,4149,1708,637
14,787270,109554,42364,20507,19306,6867,1240,801
15,2100366,93986,40575,29733,18935,19659,2033,1304
16,761153,52301,12726,5707,8077,3899,1472,606
17,874946,6078,772,5569,6673,2155,398,263
18,1477155,72094,10175,4892,8173,7421,1495,782
19,872292,111879,13068,13137,34008,32029,18839,12733
20,602442,585969,327357,118587,73221,33589,8873,9740
21,826287,138353,21290,8382,4457,7211,4654,3772
22,3581419,370410,25667,91945,52866,47855,18243,6484
23,845653,90599,32572,12914,12283,14504,4161,2029
24,383337,107115,48925,38845,30779,70829,79038,103113
25,688961,49799,14477,9090,2710,1495,611,362
26,925665,235749,60090,8625,111673,18470,5083,1723
27,556422,32281,6266,14171,6268,17042,1573,3088
28,1738000,578412,71701,188450,44158,60947,8596,4457
29,96310,15958,6316,5050,2573,1441,196,352
30,19336,8411,2607,1759,1092,622,227,126
31,1,2,0,2,1,0,0,1
0,185910,22908,18726,10027,10585,188377,44038,29582
1,32033,25765,22272,28411,18435,304375,26549,4264
2,713828,456183,36981,88359,95901,91364,96759,156160
3,249043,14038,18144,23108,32747,37468,37133,23221
